,strategy,variable,value
0,"VariationalMutatingGenerator-FIFOSeedPool,| (a, f) => FIFOQueue.push (mkSeed a f 1000) pool.json",0.1,5
1,"VariationalMutatingGenerator-HeapSeedPool,LeftistHeap.insert (mkSeed a f 1) pool.json",0.1,7
2,"VariationalMutatingGenerator-HeapSeedPool,LeftistHeap.insert (mkSeed a f 1000) pool.json",0.1,8
3,"VariationalMutatingGenerator-FILOSeedPool,| (a, f) => FILOQueue.push (mkSeed a f 1) pool.json",0.1,5
4,"VariationalMutatingGenerator-DynamicMonotonicSingletonPool,| (a, f) => {| seed := Some (mkSeed a f 1000) |}.json",0.1,6
5,"VariationalMutatingGenerator-FIFOSeedPool,| (a, f) => FIFOQueue.push (mkSeed a f 10) pool.json",0.1,2
6,"VariationalMutatingGenerator-DynamicResettingSingletonPool,| (a, f) => {| seed := Some (mkSeed a f 1000) |}.json",0.1,5
7,"VariationalMutatingGenerator-DynamicResettingSingletonPool,| (a, f) => {| seed := Some (mkSeed a f 10) |}.json",0.1,5
8,"VariationalMutatingGenerator-FILOSeedPool,| (a, f) => FILOQueue.push (mkSeed a f 100) pool.json",0.1,6
9,"VariationalMutatingGenerator-DynamicMonotonicSingletonPool,| (a, f) => {| seed := Some (mkSeed a f 1) |}.json",0.1,4
10,"VariationalMutatingGenerator-DynamicMonotonicSingletonPool,| (a, f) => {| seed := Some (mkSeed a f 100) |}.json",0.1,6
11,"VariationalMutatingGenerator-DynamicMonotonicSingletonPool,| (a, f) => {| seed := Some (mkSeed a f 10) |}.json",0.1,4
12,"VariationalMutatingGenerator-HeapSeedPool,LeftistHeap.insert (mkSeed a f 100) pool.json",0.1,18
13,"VariationalMutatingGenerator-FIFOSeedPool,| (a, f) => FIFOQueue.push (mkSeed a f 100) pool.json",0.1,7
14,"VariationalMutatingGenerator-DynamicResettingSingletonPool,| (a, f) => {| seed := Some (mkSeed a f 1) |}.json",0.1,3
15,"VariationalMutatingGenerator-FILOSeedPool,| (a, f) => FILOQueue.push (mkSeed a f 1000) pool.json",0.1,5
16,"VariationalMutatingGenerator-DynamicResettingSingletonPool,| (a, f) => {| seed := Some (mkSeed a f 100) |}.json",0.1,4
17,"VariationalMutatingGenerator-FILOSeedPool,| (a, f) => FILOQueue.push (mkSeed a f 10) pool.json",0.1,2
18,"VariationalMutatingGenerator-FIFOSeedPool,| (a, f) => FIFOQueue.push (mkSeed a f 1) pool.json",0.1,4
19,"VariationalMutatingGenerator-HeapSeedPool,LeftistHeap.insert (mkSeed a f 10) pool.json",0.1,14
20,"VariationalMutatingGenerator-StaticSingletonPool,| (a, f) => {| seed := Some (mkSeed a f 1) |}.json",0.1,6
21,"VariationalMutatingGenerator-FIFOSeedPool,| (a, f) => FIFOQueue.push (mkSeed a f 1000) pool.json",1.0,8
22,"VariationalMutatingGenerator-HeapSeedPool,LeftistHeap.insert (mkSeed a f 1) pool.json",1.0,12
23,"VariationalMutatingGenerator-HeapSeedPool,LeftistHeap.insert (mkSeed a f 1000) pool.json",1.0,6
24,"VariationalMutatingGenerator-FILOSeedPool,| (a, f) => FILOQueue.push (mkSeed a f 1) pool.json",1.0,13
25,"VariationalMutatingGenerator-DynamicMonotonicSingletonPool,| (a, f) => {| seed := Some (mkSeed a f 1000) |}.json",1.0,11
26,"VariationalMutatingGenerator-FIFOSeedPool,| (a, f) => FIFOQueue.push (mkSeed a f 10) pool.json",1.0,12
27,"VariationalMutatingGenerator-DynamicResettingSingletonPool,| (a, f) => {| seed := Some (mkSeed a f 1000) |}.json",1.0,10
28,"VariationalMutatingGenerator-DynamicResettingSingletonPool,| (a, f) => {| seed := Some (mkSeed a f 10) |}.json",1.0,8
29,"VariationalMutatingGenerator-FILOSeedPool,| (a, f) => FILOQueue.push (mkSeed a f 100) pool.json",1.0,8
