,workload,strategy,version,discards,foundbug,time,inputs,throughput
0,BSTProplang,BespokeGenerator,0,0.0,1.0,0.000379584905660317,39.364150943396226,78912.66039370984
1,BSTProplang,BespokeGenerator,1,0.0,1.0,0.0013376320754716112,14.628301886792453,9317.36384962668
2,BSTProplang,SpecificationBasedGenerator,0,0.0,1.0,0.0004610226415093717,27.288679245283017,54037.44130034739
3,BSTProplang,SpecificationBasedGenerator,1,0.0,1.0,0.001756713207547102,11.284905660377358,5923.189433551511
4,BSTProplang,TypeBasedGenerator,0,304.7358490566038,1.0,0.002803879245282968,343.92075471698115,126474.13335248103
5,BSTProplang,TypeBasedGenerator,1,64.07735849056604,1.0,0.007261777358490508,80.35283018867925,12790.300440672892
6,STLCProplang,BespokeGenerator,0,0.0,1.0,0.012004759999999906,617.56,34184.31629830179
7,STLCProplang,BespokeGenerator,1,0.0,1.0,0.02774424499999988,129.225,3904.0043446562886
8,STLCProplang,NewGenerator,0,0.0,1.0,0.09420846499999996,3757.43,31992.97275570644
9,STLCProplang,NewGenerator,1,0.0,1.0,0.25147705499999995,967.71,3500.5627524097636
10,STLCProplang,SpecificationBasedGenerator,0,1.525,1.0,0.00400542999999994,110.22,20354.69217455283
11,STLCProplang,SpecificationBasedGenerator,1,0.275,1.0,0.00936355999999992,27.235,2511.621900504207
12,STLCProplang,TypeBasedGenerator,0,218427.15,1.0,1.279751645,95591.395,238375.62423029728
13,STLCProplang,TypeBasedGenerator,1,58474.355,1.0,4.106080565,25591.2,22974.32021585814
