,workload,strategy,discards,foundbug,time,inputs,throughput
0,BST,BespokeGenerator,0.0,1.0,0.0009078320754716384,18.4937106918239,21343.269192846
1,BST,SpecificationBasedGenerator,0.0,1.0,0.0004115088050313849,20.152201257861634,49523.72552690179
2,BST,TypeBasedFuzzer,99.67713004484305,0.9993593850096092,0.01631415374759762,53.263933376041,13070.279753591705
3,BST,TypeBasedGenerator,166.24591194968554,1.0,0.004386812578616276,205.4125786163522,74493.31883987099
4,BSTProplang,BespokeFuzzer,0.0,1.0,0.0036831238993709943,35.70566037735849,9353.59585741042
5,BSTProplang,BespokeGenerator,0.0,1.0,0.00043262955974837045,38.18050314465409,75119.92653373645
6,BSTProplang,SpecificationBasedGenerator,0.0,1.0,0.00048161509433955853,27.39182389937107,49879.5764953562
7,BSTProplang,TypeBasedFuzzer,140.82138364779874,1.0,0.016931645283018798,75.75849056603774,11315.26661608316
8,BSTProplang,TypeBasedGenerator,237.98427672955975,1.0,0.003597409433962189,292.5993710691824,90918.04375159174
9,RBT,BespokeGenerator,0.0,1.0,0.024893834482758552,1058.896551724138,30785.44188990994
10,RBT,RookieGenerator,3488.488773747841,0.927461139896373,1.5367464905008634,429.16062176165804,10241.522535129097
11,RBT,SpecificationBasedGenerator,805.8110795454545,0.9914772727272727,0.22237925355113627,6298.428267045455,35692.239888567776
12,RBT,TypeBasedFuzzer,1277.5927189988624,0.9658703071672355,0.4818014755403867,986.2150170648464,12638.81439451214
13,RBT,TypeBasedGenerator,8220.792543021033,0.9770554493307839,0.4554000420650095,14172.282982791587,81443.10926916008
14,RBTProplang,BespokeGenerator,0.0,1.0,0.007909655747126362,1924.4603448275861,114414.05332295068
15,RBTProplang,SpecificationBasedGenerator,1176.6382978723404,0.9931365820178449,0.14599476389842136,9203.890871654085,76126.43291946477
16,RBTProplang,TypeBasedFuzzer,1964.4586776859503,0.9721074380165289,0.40612488842975203,1096.3688016528927,18571.43029006904
17,RBTProplang,TypeBasedGenerator,20751.6477166822,0.97856477166822,0.36909563839701764,35770.33737185461,213847.39162701386
18,STLC,BespokeGenerator,0.0,1.0,0.06024433833333326,673.1216666666667,12614.629656462932
19,STLC,NewGenerator,0.0,0.9946808510638298,0.6682040797872341,3651.198581560284,5923.74704532592
20,STLC,SpecificationBasedGenerator,0.055,1.0,0.004752501666666587,119.245,22034.54413784394
21,STLC,TypeBasedFuzzer,10381.367556468173,0.9917864476386037,1.168328868583162,7604.977412731007,16554.92542036875
22,STLC,TypeBasedGenerator,8700.478439425051,0.9917864476386037,0.31883131622176586,4730.244353182751,57146.607976626954
23,STLCProplang,BespokeGenerator,0.0,1.0,0.009981229999999938,625.625,44694.573605803416
24,STLCProplang,NewGenerator,0.0,1.0,0.0718884116666666,3567.4583333333335,40643.81631527245
25,STLCProplang,SpecificationBasedGenerator,1.2716666666666667,1.0,0.002742609999999935,95.14166666666667,27172.555298199488
26,STLCProplang,TypeBasedFuzzer,11986.480349344978,0.9890829694323144,0.7275757401746724,5245.368995633188,27312.292205084264
27,STLCProplang,TypeBasedGenerator,58364.76878612717,0.9922928709055877,0.35387815028901726,25559.911368015415,291466.1244443079
