,workload,strategy,discards,foundbug,time,inputs,throughput
0,BSTProplang,BespokeGenerator,0.0,1.0,0.0009634075471697491,41.843396226415095,24883.75579388269
1,BSTProplang,SpecificationBasedGenerator,0.0,1.0,0.0018122584905659565,20.28301886792453,19516.955909303706
2,BSTProplang,TypeBasedGenerator,156.0679245283019,1.0,0.007031562264150879,187.16037735849056,45352.19262606645
3,RBTProplang,BespokeGenerator,0.0,1.0,0.22396207758620681,4728.146551724138,7588.505915086729
4,RBTProplang,SpecificationBasedGenerator,4466.900406504065,1.0,1.2773613069105691,34928.1930894309,12210.003293872249
5,RBTProplang,TypeBasedGenerator,13848.843304843305,1.0,0.6316695299145298,23877.193732193733,48746.01702824855
6,STLCProplang,BespokeGenerator,0.0,1.0,0.15961141999999992,702.36,4112.783334158628
7,STLCProplang,NewGenerator,0.0,1.0,1.672640605,5662.94,2374.738212748886
8,STLCProplang,SpecificationBasedGenerator,0.035,1.0,0.013355589999999935,114.8,6077.792796244016
9,STLCProplang,TypeBasedGenerator,76534.39361702128,1.0,2.9483290372340423,34111.925531914894,35579.45158938849
