strategy,workload,version,0.1,1.0,10.0,60.0,rest
BespokeGenerator,BST,deeper,53,0,0,0,0
BespokeGenerator,BST,shallow,53,0,0,0,0
SpecificationBasedGenerator,BST,deeper,53,0,0,0,0
SpecificationBasedGenerator,BST,shallow,53,0,0,0,0
TypeBasedFuzzer,BST,deeper,51,2,0,0,0
TypeBasedFuzzer,BST,shallow,48,4,0,0,1
TypeBasedGenerator,BST,deeper,53,0,0,0,0
TypeBasedGenerator,BST,shallow,51,2,0,0,0
BespokeGenerator,RBT,deeper,55,3,0,0,0
BespokeGenerator,RBT,shallow,50,8,0,0,0
SpecificationBasedGenerator,RBT,deeper,41,4,3,1,9
SpecificationBasedGenerator,RBT,shallow,37,5,5,2,9
TypeBasedFuzzer,RBT,deeper,23,4,4,4,23
TypeBasedFuzzer,RBT,shallow,22,3,4,2,27
TypeBasedGenerator,RBT,deeper,27,4,4,0,23
TypeBasedGenerator,RBT,shallow,26,3,5,1,23
BespokeGenerator,STLC,deeper,17,3,0,0,0
BespokeGenerator,STLC,shallow,12,7,1,0,0
SpecificationBasedGenerator,STLC,deeper,20,0,0,0,0
SpecificationBasedGenerator,STLC,shallow,20,0,0,0,0
TypeBasedFuzzer,STLC,deeper,0,0,1,7,12
TypeBasedFuzzer,STLC,shallow,0,3,13,0,4
TypeBasedGenerator,STLC,deeper,5,10,1,4,0
TypeBasedGenerator,STLC,shallow,2,10,4,4,0
