[prop_MultiPreserve|
generated error fail pass / total     time test name
[ ]    0    0    0    0 / 1000     0.0s test_prop_MultiPreserve
[ ]    0    0    0    0 / 1000     0.0s test_prop_MultiPreserve (generating)
[ ]   12    0    0    1 / 1000     0.8s test_prop_MultiPreserve (collecting)
[ ]   25    0    0    3 / 1000     0.9s test_prop_MultiPreserve (collecting)
[ ]   34    0    0    3 / 1000     1.1s test_prop_MultiPreserve (collecting)
[ ]   37    0    0    3 / 1000     1.8s test_prop_MultiPreserve (collecting)
[ ]   55    0    0    3 / 1000     4.1s test_prop_MultiPreserve (collecting)
[ ]   69    0    0    5 / 1000     4.2s test_prop_MultiPreserve (collecting)
[ ]   98    0    0    9 / 1000     4.5s test_prop_MultiPreserve (collecting)
[ ]  126    0    0   11 / 1000     5.3s test_prop_MultiPreserve (collecting)
[ ]  129    0    0   11 / 1000     5.4s test_prop_MultiPreserve (collecting)
[ ]  172    0    0   15 / 1000     7.7s test_prop_MultiPreserve (collecting)
[ ]  180    0    0   16 / 1000     9.9s test_prop_MultiPreserve (collecting)
[ ]  188    0    0   16 / 1000    10.0s test_prop_MultiPreserve (collecting)
[ ]  197    0    0   17 / 1000    10.1s test_prop_MultiPreserve (collecting)
[ ]  202    0    0   17 / 1000    10.6s test_prop_MultiPreserve (collecting)
[ ]  238    0    0   22 / 1000    10.7s test_prop_MultiPreserve (collecting)
[ ]  246    0    0   22 / 1000    10.8s test_prop_MultiPreserve (collecting)
[ ]  251    0    0   22 / 1000    11.5s test_prop_MultiPreserve (collecting)
[ ]  274    0    0   22 / 1000    11.9s test_prop_MultiPreserve (collecting)
[ ]  275    0    0   22 / 1000    12.7s test_prop_MultiPreserve (collecting)
[ ]  278    0    0   22 / 1000    13.4s test_prop_MultiPreserve (collecting)
[ ]  281    0    0   22 / 1000    15.7s test_prop_MultiPreserve (collecting)
[ ]  291    0    0   23 / 1000    15.9s test_prop_MultiPreserve (collecting)
[ ]  298    0    0   25 / 1000    16.0s test_prop_MultiPreserve (collecting)
[ ]  309    0    0   25 / 1000    16.1s test_prop_MultiPreserve (collecting)
[ ]  328    0    0   26 / 1000    16.9s test_prop_MultiPreserve (collecting)
[ ]  329    0    0   26 / 1000    17.0s test_prop_MultiPreserve (collecting)
[ ]  346    0    0   27 / 1000    17.3s test_prop_MultiPreserve (collecting)
[ ]  358    0    0   27 / 1000    18.5s test_prop_MultiPreserve (collecting)
[ ]  366    0    0   27 / 1000    19.3s test_prop_MultiPreserve (collecting)
[ ]  395    0    0   30 / 1000    19.5s test_prop_MultiPreserve (collecting)
[ ]  412    0    0   31 / 1000    20.3s test_prop_MultiPreserve (collecting)
[ ]  429    0    0   31 / 1000    21.3s test_prop_MultiPreserve (collecting)
[ ]  441    0    0   32 / 1000    21.9s test_prop_MultiPreserve (collecting)
[ ]  450    0    0   32 / 1000    24.3s test_prop_MultiPreserve (collecting)
[ ]  455    0    0   32 / 1000    24.5s test_prop_MultiPreserve (collecting)
[ ]  489    0    0   35 / 1000    24.7s test_prop_MultiPreserve (collecting)
[ ]  501    0    0   35 / 1000    26.9s test_prop_MultiPreserve (collecting)
[ ]  526    0    0   36 / 1000    27.7s test_prop_MultiPreserve (collecting)
[ ]  545    0    0   36 / 1000    27.8s test_prop_MultiPreserve (collecting)
[ ]  558    0    0   36 / 1000    28.0s test_prop_MultiPreserve (collecting)
[ ]  591    0    0   37 / 1000    28.1s test_prop_MultiPreserve (collecting)
