[prop_MultiPreserve|
generated error fail pass / total     time test name
[ ]    0    0    0    0 / 1000     0.0s test_prop_MultiPreserve
[ ]    0    0    0    0 / 1000     0.0s test_prop_MultiPreserve (generating)
[ ]   23    0    0    3 / 1000     0.1s test_prop_MultiPreserve (collecting)
[ ]   52    0    0    4 / 1000     0.2s test_prop_MultiPreserve (collecting)
[ ]   64    0    0    6 / 1000     1.0s test_prop_MultiPreserve (collecting)
[ ]   99    0    0   12 / 1000     1.8s test_prop_MultiPreserve (collecting)
[ ]  113    0    0   14 / 1000     2.5s test_prop_MultiPreserve (collecting)
[ ]  130    0    0   15 / 1000     3.4s test_prop_MultiPreserve (collecting)
[ ]  162    0    0   15 / 1000     3.5s test_prop_MultiPreserve (collecting)
[ ]  181    0    0   16 / 1000     5.7s test_prop_MultiPreserve (collecting)
[ ]  188    0    0   16 / 1000     6.4s test_prop_MultiPreserve (collecting)
[ ]  197    0    0   17 / 1000     7.3s test_prop_MultiPreserve (collecting)
[ ]  242    0    0   21 / 1000     7.7s test_prop_MultiPreserve (collecting)
[ ]  275    0    0   23 / 1000     8.1s test_prop_MultiPreserve (collecting)
[ ]  326    0    0   28 / 1000     8.2s test_prop_MultiPreserve (collecting)
[ ]  338    0    0   28 / 1000     9.0s test_prop_MultiPreserve (collecting)
[ ]  349    0    0   29 / 1000    11.3s test_prop_MultiPreserve (collecting)
[ ]  351    0    0   29 / 1000    13.6s test_prop_MultiPreserve (collecting)
[ ]  392    0    0   33 / 1000    13.7s test_prop_MultiPreserve (collecting)
[ ]  397    0    0   33 / 1000    14.4s test_prop_MultiPreserve (collecting)
[ ]  430    0    0   35 / 1000    14.5s test_prop_MultiPreserve (collecting)
[ ]  439    0    0   37 / 1000    15.5s test_prop_MultiPreserve (collecting)
[ ]  482    0    0   40 / 1000    16.3s test_prop_MultiPreserve (collecting)
[ ]  489    0    0   41 / 1000    17.0s test_prop_MultiPreserve (collecting)
[ ]  520    0    0   46 / 1000    17.1s test_prop_MultiPreserve (collecting)
[ ]  527    0    0   47 / 1000    19.4s test_prop_MultiPreserve (collecting)
[ ]  532    0    0   47 / 1000    20.2s test_prop_MultiPreserve (collecting)
[ ]  563    0    0   52 / 1000    20.3s test_prop_MultiPreserve (collecting)
[ ]  571    0    0   53 / 1000    22.8s test_prop_MultiPreserve (collecting)
[ ]  580    0    0   54 / 1000    25.4s test_prop_MultiPreserve (collecting)
[ ]  588    0    0   54 / 1000    25.5s test_prop_MultiPreserve (collecting)
[ ]  602    0    0   57 / 1000    25.6s test_prop_MultiPreserve (collecting)
[ ]  618    0    0   58 / 1000    27.9s test_prop_MultiPreserve (collecting)
[ ]  630    0    0   58 / 1000    28.1s test_prop_MultiPreserve (collecting)
[ ]  651    0    0   60 / 1000    29.1s test_prop_MultiPreserve (collecting)
[ ]  688    0    0   63 / 1000    29.2s test_prop_MultiPreserve (collecting)
[ ]  703    0    0   66 / 1000    30.1s test_prop_MultiPreserve (collecting)
[ ]  711    0    0   66 / 1000    32.4s test_prop_MultiPreserve (collecting)
[ ]  716    0    0   66 / 1000    33.1s test_prop_MultiPreserve (collecting)
[ ]  717    0    0   66 / 1000    34.0s test_prop_MultiPreserve (collecting)
[ ]  721    0    0   66 / 1000    36.2s test_prop_MultiPreserve (collecting)
[ ]  728    0    0   66 / 1000    36.8s test_prop_MultiPreserve (collecting)
[ ]  767    0    0   70 / 1000    37.7s test_prop_MultiPreserve (collecting)
[ ]  773    0    0   71 / 1000    39.9s test_prop_MultiPreserve (collecting)
[ ]  798    0    0   72 / 1000    40.0s test_prop_MultiPreserve (collecting)
[ ]  815    0    0   72 / 1000    40.7s test_prop_MultiPreserve (collecting)
[ ]  817    0    0   72 / 1000    41.5s test_prop_MultiPreserve (collecting)
[ ]  823    0    0   72 / 1000    41.7s test_prop_MultiPreserve (collecting)
[ ]  854    0    0   79 / 1000    44.1s test_prop_MultiPreserve (collecting)
[ ]  873    0    0   79 / 1000    44.2s test_prop_MultiPreserve (collecting)
[ ]  880    0    0   80 / 1000    44.3s test_prop_MultiPreserve (collecting)
[ ]  891    0    0   83 / 1000    46.8s test_prop_MultiPreserve (collecting)
[ ]  896    0    0   83 / 1000    46.9s test_prop_MultiPreserve (collecting)
[ ]  904    0    0   84 / 1000    47.0s test_prop_MultiPreserve (collecting)
[ ]  916    0    0   85 / 1000    47.2s test_prop_MultiPreserve (collecting)
[ ]  933    0    0   88 / 1000    47.3s test_prop_MultiPreserve (collecting)
[ ]  981    0    0   91 / 1000    47.8s test_prop_MultiPreserve (collecting)
[ ] 1004    0    0   94 / 1000    50.3s test_prop_MultiPreserve (collecting)
[ ] 1013    0    0   95 / 1000    52.7s test_prop_MultiPreserve (collecting)
[ ] 1015    0    0   95 / 1000    54.9s test_prop_MultiPreserve (collecting)
[ ] 1041    0    0   97 / 1000    57.2s test_prop_MultiPreserve (collecting)
[ ] 1051    0    0   99 / 1000    57.7s test_prop_MultiPreserve (collecting)
[ ] 1090    0    0  102 / 1000    57.9s test_prop_MultiPreserve (collecting)
[ ] 1108    0    0  105 / 1000    60.4s test_prop_MultiPreserve (collecting)
[ ] 1140    0    0  108 / 1000    60.6s test_prop_MultiPreserve (collecting)
[ ] 1183    0    0  111 / 1000    60.7s test_prop_MultiPreserve (collecting)
[ ] 1191    0    0  112 / 1000    61.7s test_prop_MultiPreserve (collecting)
[✓] 1200    0    0  112 / 1000    61.7s test_prop_MultiPreserve
================================================================================
success (ran 1 tests)
|prop_MultiPreserve -> 61676.17]
[prop_MultiPreserve|
generated error fail pass / total     time test name
[ ]    0    0    0    0 / 1000     0.0s test_prop_MultiPreserve
[ ]    0    0    0    0 / 1000     0.0s test_prop_MultiPreserve (generating)
[ ]    7    0    0    0 / 1000     0.3s test_prop_MultiPreserve (collecting)
[ ]   21    0    0    1 / 1000     0.5s test_prop_MultiPreserve (collecting)
[ ]   62    0    0    6 / 1000     0.6s test_prop_MultiPreserve (collecting)
[ ]   87    0    0    7 / 1000     0.9s test_prop_MultiPreserve (collecting)
[ ]   92    0    0    7 / 1000     1.7s test_prop_MultiPreserve (collecting)
[ ]   93    0    0    7 / 1000     3.8s test_prop_MultiPreserve (collecting)
[ ]  108    0    0    8 / 1000     4.0s test_prop_MultiPreserve (collecting)
[ ]  118    0    0   10 / 1000     4.6s test_prop_MultiPreserve (collecting)
[ ]  139    0    0   16 / 1000     4.7s test_prop_MultiPreserve (collecting)
[ ]  151    0    0   18 / 1000     5.6s test_prop_MultiPreserve (collecting)
[ ]  173    0    0   20 / 1000     5.7s test_prop_MultiPreserve (collecting)
[ ]  186    0    0   21 / 1000     8.2s test_prop_MultiPreserve (collecting)
[ ]  207    0    0   21 / 1000     8.3s test_prop_MultiPreserve (collecting)
[ ]  241    0    0   25 / 1000     8.9s test_prop_MultiPreserve (collecting)
[ ]  247    0    0   26 / 1000     9.0s test_prop_MultiPreserve (collecting)
[ ]  253    0    0   27 / 1000    11.2s test_prop_MultiPreserve (collecting)
[ ]  267    0    0   27 / 1000    12.1s test_prop_MultiPreserve (collecting)
[ ]  275    0    0   27 / 1000    12.2s test_prop_MultiPreserve (collecting)
[ ]  299    0    0   33 / 1000    12.3s test_prop_MultiPreserve (collecting)
[ ]  308    0    0   33 / 1000    13.1s test_prop_MultiPreserve (collecting)
[ ]  326    0    0   35 / 1000    13.5s test_prop_MultiPreserve (collecting)
[ ]  332    0    0   36 / 1000    14.3s test_prop_MultiPreserve (collecting)
[ ]  351    0    0   37 / 1000    15.2s test_prop_MultiPreserve (collecting)
[ ]  352    0    0   37 / 1000    15.4s test_prop_MultiPreserve (collecting)
[ ]  370    0    0   37 / 1000    16.1s test_prop_MultiPreserve (collecting)
[ ]  372    0    0   37 / 1000    16.8s test_prop_MultiPreserve (collecting)
[ ]  384    0    0   39 / 1000    17.6s test_prop_MultiPreserve (collecting)
[ ]  388    0    0   39 / 1000    20.0s test_prop_MultiPreserve (collecting)
[ ]  394    0    0   39 / 1000    20.2s test_prop_MultiPreserve (collecting)
[ ]  408    0    0   41 / 1000    22.5s test_prop_MultiPreserve (collecting)
