[prop_SinglePreserve|
generated error fail pass / total     time test name
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve (generating)
[ ]    0    0    0    0 / 1000     2.3s test_prop_SinglePreserve (collecting)
[ ]   15    0    0    1 / 1000     3.3s test_prop_SinglePreserve (collecting)
[ ]   43    0    0    3 / 1000     3.6s test_prop_SinglePreserve (collecting)
[ ]   54    0    0    3 / 1000     4.2s test_prop_SinglePreserve (collecting)
[ ]   60    0    0    4 / 1000     5.0s test_prop_SinglePreserve (collecting)
[ ]  107    0    0   10 / 1000     5.9s test_prop_SinglePreserve (collecting)
[ ]  117    0    0   11 / 1000     8.2s test_prop_SinglePreserve (collecting)
[ ]  142    0    0   13 / 1000     8.3s test_prop_SinglePreserve (collecting)
[ ]  144    0    0   13 / 1000     9.0s test_prop_SinglePreserve (collecting)
[ ]  172    0    0   14 / 1000     9.1s test_prop_SinglePreserve (collecting)
[ ]  202    0    0   18 / 1000     9.2s test_prop_SinglePreserve (collecting)
[ ]  205    0    0   18 / 1000    10.5s test_prop_SinglePreserve (collecting)
[ ]  243    0    0   19 / 1000    12.7s test_prop_SinglePreserve (collecting)
[ ]  247    0    0   19 / 1000    13.5s test_prop_SinglePreserve (collecting)
[ ]  263    0    0   19 / 1000    13.7s test_prop_SinglePreserve (collecting)
[ ]  269    0    0   19 / 1000    13.8s test_prop_SinglePreserve (collecting)
[ ]  289    0    0   20 / 1000    14.8s test_prop_SinglePreserve (collecting)
[ ]  301    0    0   20 / 1000    15.5s test_prop_SinglePreserve (collecting)
[ ]  309    0    0   21 / 1000    16.2s test_prop_SinglePreserve (collecting)
[ ]  336    0    0   21 / 1000    16.6s test_prop_SinglePreserve (collecting)
[ ]  340    0    0   21 / 1000    18.9s test_prop_SinglePreserve (collecting)
[ ]  346    0    0   22 / 1000    19.7s test_prop_SinglePreserve (collecting)
[ ]  348    0    0   22 / 1000    22.1s test_prop_SinglePreserve (collecting)
[ ]  349    0    0   22 / 1000    22.2s test_prop_SinglePreserve (collecting)
[ ]  362    0    0   24 / 1000    23.0s test_prop_SinglePreserve (collecting)
[ ]  385    0    0   24 / 1000    23.2s test_prop_SinglePreserve (collecting)
[ ]  409    0    0   27 / 1000    23.5s test_prop_SinglePreserve (collecting)
[ ]  426    0    0   28 / 1000    25.7s test_prop_SinglePreserve (collecting)
[ ]  433    0    0   29 / 1000    25.9s test_prop_SinglePreserve (collecting)
[ ]  447    0    0   30 / 1000    26.0s test_prop_SinglePreserve (collecting)
[ ]  461    0    0   30 / 1000    28.5s test_prop_SinglePreserve (collecting)
[ ]  509    0    0   32 / 1000    28.6s test_prop_SinglePreserve (collecting)
[ ]  522    0    0   32 / 1000    29.6s test_prop_SinglePreserve (collecting)
[ ]  535    0    0   33 / 1000    29.9s test_prop_SinglePreserve (collecting)
[ ]  536    0    0   33 / 1000    30.6s test_prop_SinglePreserve (collecting)
[ ]  540    0    0   33 / 1000    30.8s test_prop_SinglePreserve (collecting)
[ ]  576    0    0   35 / 1000    31.0s test_prop_SinglePreserve (collecting)
[ ]  606    0    0   35 / 1000    31.1s test_prop_SinglePreserve (collecting)
[ ]  609    0    0   35 / 1000    33.5s test_prop_SinglePreserve (collecting)
[ ]  630    0    0   36 / 1000    33.7s test_prop_SinglePreserve (collecting)
[ ]  665    0    0   43 / 1000    33.8s test_prop_SinglePreserve (collecting)
[ ]  683    0    0   46 / 1000    36.3s test_prop_SinglePreserve (collecting)
[ ]  688    0    0   46 / 1000    37.1s test_prop_SinglePreserve (collecting)
[ ]  699    0    0   47 / 1000    37.5s test_prop_SinglePreserve (collecting)
[ ]  748    0    0   53 / 1000    39.9s test_prop_SinglePreserve (collecting)
[ ]  754    0    0   53 / 1000    40.1s test_prop_SinglePreserve (collecting)
[ ]  772    0    0   54 / 1000    41.2s test_prop_SinglePreserve (collecting)
[ ]  779    0    0   54 / 1000    41.4s test_prop_SinglePreserve (collecting)
[ ]  804    0    0   56 / 1000    41.6s test_prop_SinglePreserve (collecting)
