[prop_MultiPreserve|
generated error fail pass / total     time test name
[ ]    0    0    0    0 / 1000     0.0s test_prop_MultiPreserve
[ ]    0    0    0    0 / 1000     0.0s test_prop_MultiPreserve (generating)
[ ]   18    0    0    2 / 1000     0.8s test_prop_MultiPreserve (collecting)
[ ]   67    0    0    5 / 1000     0.9s test_prop_MultiPreserve (collecting)
[ ]   98    0    0    7 / 1000     1.2s test_prop_MultiPreserve (collecting)
[ ]  123    0    0    9 / 1000     1.3s test_prop_MultiPreserve (collecting)
[ ]  133    0    0   10 / 1000     1.4s test_prop_MultiPreserve (collecting)
[ ]  135    0    0   10 / 1000     2.2s test_prop_MultiPreserve (collecting)
[ ]  162    0    0   10 / 1000     2.9s test_prop_MultiPreserve (collecting)
[ ]  203    0    0   16 / 1000     3.0s test_prop_MultiPreserve (collecting)
[ ]  213    0    0   17 / 1000     3.2s test_prop_MultiPreserve (collecting)
[ ]  278    0    0   23 / 1000     3.4s test_prop_MultiPreserve (collecting)
[ ]  308    0    0   24 / 1000     3.5s test_prop_MultiPreserve (collecting)
[ ]  327    0    0   25 / 1000     3.6s test_prop_MultiPreserve (collecting)
[ ]  374    0    0   28 / 1000     4.4s test_prop_MultiPreserve (collecting)
[ ]  384    0    0   28 / 1000     4.5s test_prop_MultiPreserve (collecting)
[ ]  394    0    0   30 / 1000     5.3s test_prop_MultiPreserve (collecting)
[ ]  397    0    0   30 / 1000     7.7s test_prop_MultiPreserve (collecting)
[ ]  400    0    0   30 / 1000    10.0s test_prop_MultiPreserve (collecting)
[ ]  454    0    0   36 / 1000    10.1s test_prop_MultiPreserve (collecting)
[ ]  456    0    0   36 / 1000    12.3s test_prop_MultiPreserve (collecting)
[ ]  468    0    0   36 / 1000    12.4s test_prop_MultiPreserve (collecting)
[ ]  469    0    0   36 / 1000    14.7s test_prop_MultiPreserve (collecting)
[ ]  479    0    0   37 / 1000    15.2s test_prop_MultiPreserve (collecting)
[ ]  481    0    0   37 / 1000    17.7s test_prop_MultiPreserve (collecting)
[ ]  521    0    0   40 / 1000    18.6s test_prop_MultiPreserve (collecting)
[ ]  540    0    0   40 / 1000    18.7s test_prop_MultiPreserve (collecting)
[ ]  583    0    0   42 / 1000    19.6s test_prop_MultiPreserve (collecting)
[ ]  605    0    0   43 / 1000    20.4s test_prop_MultiPreserve (collecting)
[ ]  631    0    0   45 / 1000    20.8s test_prop_MultiPreserve (collecting)
[ ]  662    0    0   47 / 1000    20.9s test_prop_MultiPreserve (collecting)
[ ]  664    0    0   47 / 1000    21.6s test_prop_MultiPreserve (collecting)
[ ]  667    0    0   47 / 1000    22.4s test_prop_MultiPreserve (collecting)
[ ]  676    0    0   48 / 1000    22.5s test_prop_MultiPreserve (collecting)
[ ]  700    0    0   51 / 1000    22.8s test_prop_MultiPreserve (collecting)
[ ]  738    0    0   54 / 1000    23.5s test_prop_MultiPreserve (collecting)
[ ]  759    0    0   54 / 1000    23.6s test_prop_MultiPreserve (collecting)
[ ]  809    0    0   58 / 1000    23.8s test_prop_MultiPreserve (collecting)
[ ]  840    0    0   59 / 1000    24.0s test_prop_MultiPreserve (collecting)
[ ]  850    0    0   60 / 1000    24.3s test_prop_MultiPreserve (collecting)
[ ]  867    0    0   62 / 1000    24.6s test_prop_MultiPreserve (collecting)
[ ]  896    0    0   67 / 1000    24.7s test_prop_MultiPreserve (collecting)
[ ]  927    0    0   70 / 1000    24.8s test_prop_MultiPreserve (collecting)
[ ]  944    0    0   73 / 1000    27.2s test_prop_MultiPreserve (collecting)
[ ]  959    0    0   74 / 1000    27.7s test_prop_MultiPreserve (collecting)
[ ]  968    0    0   74 / 1000    28.6s test_prop_MultiPreserve (collecting)
[ ]  969    0    0   74 / 1000    28.8s test_prop_MultiPreserve (collecting)
[ ]  977    0    0   74 / 1000    31.2s test_prop_MultiPreserve (collecting)
[ ] 1004    0    0   76 / 1000    31.3s test_prop_MultiPreserve (collecting)
[ ] 1015    0    0   76 / 1000    31.5s test_prop_MultiPreserve (collecting)
[ ] 1029    0    0   77 / 1000    32.4s test_prop_MultiPreserve (collecting)
[ ] 1042    0    0   77 / 1000    32.5s test_prop_MultiPreserve (collecting)
[ ] 1050    0    0   77 / 1000    33.1s test_prop_MultiPreserve (collecting)
