[prop_SinglePreserve|
generated error fail pass / total     time test name
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve (generating)
[ ]   33    0    0    2 / 1000     0.8s test_prop_SinglePreserve (collecting)
[ ]   45    0    0    2 / 1000     0.9s test_prop_SinglePreserve (collecting)
[ ]   78    0    0    3 / 1000     1.0s test_prop_SinglePreserve (collecting)
[ ]   80    0    0    3 / 1000     1.3s test_prop_SinglePreserve (collecting)
[ ]  118    0    0    7 / 1000     3.7s test_prop_SinglePreserve (collecting)
[ ]  126    0    0    8 / 1000     4.1s test_prop_SinglePreserve (collecting)
[ ]  161    0    0    8 / 1000     4.2s test_prop_SinglePreserve (collecting)
[ ]  167    0    0    9 / 1000     6.8s test_prop_SinglePreserve (collecting)
[ ]  178    0    0   10 / 1000     7.3s test_prop_SinglePreserve (collecting)
[ ]  194    0    0   14 / 1000     8.4s test_prop_SinglePreserve (collecting)
[ ]  206    0    0   17 / 1000     8.8s test_prop_SinglePreserve (collecting)
[ ]  208    0    0   17 / 1000     9.5s test_prop_SinglePreserve (collecting)
[ ]  210    0    0   17 / 1000    10.2s test_prop_SinglePreserve (collecting)
[ ]  233    0    0   20 / 1000    10.3s test_prop_SinglePreserve (collecting)
[ ]  236    0    0   20 / 1000    12.7s test_prop_SinglePreserve (collecting)
[ ]  257    0    0   21 / 1000    13.1s test_prop_SinglePreserve (collecting)
[ ]  267    0    0   24 / 1000    13.2s test_prop_SinglePreserve (collecting)
[ ]  276    0    0   26 / 1000    13.4s test_prop_SinglePreserve (collecting)
[ ]  286    0    0   27 / 1000    14.1s test_prop_SinglePreserve (collecting)
[ ]  287    0    0   27 / 1000    15.4s test_prop_SinglePreserve (collecting)
[ ]  323    0    0   30 / 1000    15.6s test_prop_SinglePreserve (collecting)
[ ]  340    0    0   31 / 1000    15.9s test_prop_SinglePreserve (collecting)
[ ]  357    0    0   32 / 1000    16.3s test_prop_SinglePreserve (collecting)
[ ]  368    0    0   34 / 1000    16.5s test_prop_SinglePreserve (collecting)
[ ]  371    0    0   35 / 1000    17.3s test_prop_SinglePreserve (collecting)
[ ]  384    0    0   36 / 1000    19.4s test_prop_SinglePreserve (collecting)
[ ]  393    0    0   37 / 1000    20.2s test_prop_SinglePreserve (collecting)
[ ]  423    0    0   39 / 1000    21.2s test_prop_SinglePreserve (collecting)
[ ]  435    0    0   39 / 1000    21.5s test_prop_SinglePreserve (collecting)
[ ]  458    0    0   40 / 1000    21.8s test_prop_SinglePreserve (collecting)
[ ]  486    0    0   45 / 1000    22.0s test_prop_SinglePreserve (collecting)
[ ]  516    0    0   48 / 1000    22.1s test_prop_SinglePreserve (collecting)
[ ]  528    0    0   49 / 1000    22.3s test_prop_SinglePreserve (collecting)
[ ]  540    0    0   50 / 1000    23.1s test_prop_SinglePreserve (collecting)
[ ]  575    0    0   50 / 1000    23.2s test_prop_SinglePreserve (collecting)
[ ]  578    0    0   51 / 1000    23.9s test_prop_SinglePreserve (collecting)
[ ]  580    0    0   51 / 1000    24.6s test_prop_SinglePreserve (collecting)
[ ]  591    0    0   52 / 1000    24.7s test_prop_SinglePreserve (collecting)
[ ]  601    0    0   52 / 1000    24.8s test_prop_SinglePreserve (collecting)
[ ]  611    0    0   53 / 1000    24.9s test_prop_SinglePreserve (collecting)
[ ]  626    0    0   54 / 1000    25.0s test_prop_SinglePreserve (collecting)
[ ]  638    0    0   55 / 1000    27.4s test_prop_SinglePreserve (collecting)
[ ]  648    0    0   58 / 1000    27.5s test_prop_SinglePreserve (collecting)
[ ]  650    0    0   58 / 1000    28.3s test_prop_SinglePreserve (collecting)
[ ]  666    0    0   58 / 1000    28.4s test_prop_SinglePreserve (collecting)
[ ]  678    0    0   59 / 1000    29.2s test_prop_SinglePreserve (collecting)
[ ]  730    0    0   64 / 1000    30.2s test_prop_SinglePreserve (collecting)
[ ]  744    0    0   64 / 1000    30.3s test_prop_SinglePreserve (collecting)
[ ]  781    0    0   66 / 1000    30.4s test_prop_SinglePreserve (collecting)
[ ]  782    0    0   66 / 1000    30.7s test_prop_SinglePreserve (collecting)
[ ]  791    0    0   66 / 1000    31.0s test_prop_SinglePreserve (collecting)
[ ]  808    0    0   69 / 1000    31.3s test_prop_SinglePreserve (collecting)
[ ]  840    0    0   72 / 1000    32.2s test_prop_SinglePreserve (collecting)
[ ]  849    0    0   72 / 1000    33.0s test_prop_SinglePreserve (collecting)
[ ]  850    0    0   72 / 1000    33.7s test_prop_SinglePreserve (collecting)
[ ]  876    0    0   74 / 1000    34.0s test_prop_SinglePreserve (collecting)
[ ]  889    0    0   74 / 1000    34.3s test_prop_SinglePreserve (collecting)
[ ]  899    0    0   76 / 1000    36.5s test_prop_SinglePreserve (collecting)
[ ]  905    0    0   76 / 1000    38.8s test_prop_SinglePreserve (collecting)
[ ]  929    0    0   76 / 1000    38.9s test_prop_SinglePreserve (collecting)
[ ]  956    0    0   78 / 1000    41.4s test_prop_SinglePreserve (collecting)
[ ]  963    0    0   78 / 1000    41.7s test_prop_SinglePreserve (collecting)
[ ] 1001    0    0   82 / 1000    41.8s test_prop_SinglePreserve (collecting)
[ ] 1015    0    0   83 / 1000    42.7s test_prop_SinglePreserve (collecting)
[ ] 1017    0    0   83 / 1000    44.8s test_prop_SinglePreserve (collecting)
[ ] 1040    0    0   84 / 1000    45.0s test_prop_SinglePreserve (collecting)
[ ] 1077    0    0   87 / 1000    45.8s test_prop_SinglePreserve (collecting)
[ ] 1097    0    0   90 / 1000    46.6s test_prop_SinglePreserve (collecting)
[ ] 1108    0    0   90 / 1000    47.4s test_prop_SinglePreserve (collecting)
[ ] 1125    0    0   90 / 1000    47.5s test_prop_SinglePreserve (collecting)
[ ] 1135    0    0   91 / 1000    47.6s test_prop_SinglePreserve (collecting)
[ ] 1184    0    0   99 / 1000    48.3s test_prop_SinglePreserve (collecting)
[ ] 1198    0    0   99 / 1000    48.4s test_prop_SinglePreserve (collecting)
[✓] 1200    0    0   99 / 1000    48.4s test_prop_SinglePreserve
================================================================================
success (ran 1 tests)
|prop_SinglePreserve -> 48101.18]
[prop_SinglePreserve|
generated error fail pass / total     time test name
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve (generating)
[ ]   25    0    0    4 / 1000     2.3s test_prop_SinglePreserve (collecting)
[ ]   48    0    0    5 / 1000     2.4s test_prop_SinglePreserve (collecting)
[ ]   95    0    0   10 / 1000     2.5s test_prop_SinglePreserve (collecting)
[ ]  102    0    0   12 / 1000     3.4s test_prop_SinglePreserve (collecting)
[ ]  105    0    0   12 / 1000     6.0s test_prop_SinglePreserve (collecting)
[ ]  107    0    0   12 / 1000     8.4s test_prop_SinglePreserve (collecting)
[ ]  116    0    0   12 / 1000     8.6s test_prop_SinglePreserve (collecting)
[ ]  136    0    0   12 / 1000     8.8s test_prop_SinglePreserve (collecting)
[ ]  141    0    0   12 / 1000     9.8s test_prop_SinglePreserve (collecting)
[ ]  158    0    0   12 / 1000    10.6s test_prop_SinglePreserve (collecting)
[ ]  162    0    0   12 / 1000    10.8s test_prop_SinglePreserve (collecting)
[ ]  207    0    0   13 / 1000    10.9s test_prop_SinglePreserve (collecting)
[ ]  231    0    0   14 / 1000    11.0s test_prop_SinglePreserve (collecting)
[ ]  270    0    0   16 / 1000    11.9s test_prop_SinglePreserve (collecting)
[ ]  304    0    0   17 / 1000    12.0s test_prop_SinglePreserve (collecting)
[ ]  321    0    0   19 / 1000    12.1s test_prop_SinglePreserve (collecting)
[ ]  322    0    0   19 / 1000    12.8s test_prop_SinglePreserve (collecting)
[ ]  346    0    0   19 / 1000    15.1s test_prop_SinglePreserve (collecting)
[ ]  354    0    0   19 / 1000    15.3s test_prop_SinglePreserve (collecting)
[ ]  365    0    0   20 / 1000    15.7s test_prop_SinglePreserve (collecting)
[ ]  380    0    0   20 / 1000    16.4s test_prop_SinglePreserve (collecting)
[ ]  413    0    0   23 / 1000    16.5s test_prop_SinglePreserve (collecting)
[ ]  417    0    0   23 / 1000    16.6s test_prop_SinglePreserve (collecting)
[ ]  441    0    0   25 / 1000    16.8s test_prop_SinglePreserve (collecting)
[ ]  444    0    0   25 / 1000    17.0s test_prop_SinglePreserve (collecting)
[ ]  445    0    0   25 / 1000    17.7s test_prop_SinglePreserve (collecting)
[ ]  455    0    0   26 / 1000    17.9s test_prop_SinglePreserve (collecting)
[ ]  473    0    0   27 / 1000    18.0s test_prop_SinglePreserve (collecting)
[ ]  486    0    0   29 / 1000    18.6s test_prop_SinglePreserve (collecting)
[ ]  492    0    0   29 / 1000    18.9s test_prop_SinglePreserve (collecting)
[ ]  517    0    0   30 / 1000    19.2s test_prop_SinglePreserve (collecting)
[ ]  531    0    0   33 / 1000    19.3s test_prop_SinglePreserve (collecting)
[ ]  575    0    0   38 / 1000    19.4s test_prop_SinglePreserve (collecting)
[ ]  637    0    0   40 / 1000    19.7s test_prop_SinglePreserve (collecting)
[ ]  642    0    0   40 / 1000    20.5s test_prop_SinglePreserve (collecting)
[ ]  659    0    0   41 / 1000    20.6s test_prop_SinglePreserve (collecting)
[ ]  682    0    0   43 / 1000    20.7s test_prop_SinglePreserve (collecting)
[ ]  698    0    0   43 / 1000    21.0s test_prop_SinglePreserve (collecting)
[ ]  738    0    0   43 / 1000    21.1s test_prop_SinglePreserve (collecting)
[ ]  739    0    0   43 / 1000    21.9s test_prop_SinglePreserve (collecting)
[ ]  754    0    0   44 / 1000    22.6s test_prop_SinglePreserve (collecting)
[ ]  773    0    0   44 / 1000    22.7s test_prop_SinglePreserve (collecting)
[ ]  782    0    0   46 / 1000    22.8s test_prop_SinglePreserve (collecting)
[ ]  813    0    0   48 / 1000    23.2s test_prop_SinglePreserve (collecting)
[ ]  819    0    0   48 / 1000    23.8s test_prop_SinglePreserve (collecting)
[ ]  836    0    0   49 / 1000    24.0s test_prop_SinglePreserve (collecting)
[ ]  841    0    0   50 / 1000    24.2s test_prop_SinglePreserve (collecting)
[ ]  861    0    0   52 / 1000    24.3s test_prop_SinglePreserve (collecting)
[ ]  887    0    0   52 / 1000    24.4s test_prop_SinglePreserve (collecting)
[ ]  890    0    0   52 / 1000    25.1s test_prop_SinglePreserve (collecting)
[ ]  936    0    0   60 / 1000    25.3s test_prop_SinglePreserve (collecting)
[ ]  950    0    0   61 / 1000    26.1s test_prop_SinglePreserve (collecting)
[ ]  954    0    0   61 / 1000    26.9s test_prop_SinglePreserve (collecting)
[ ]  972    0    0   62 / 1000    27.7s test_prop_SinglePreserve (collecting)
[ ]  973    0    0   62 / 1000    28.4s test_prop_SinglePreserve (collecting)
[ ] 1000    0    0   64 / 1000    28.6s test_prop_SinglePreserve (collecting)
[ ] 1024    0    0   67 / 1000    29.3s test_prop_SinglePreserve (collecting)
[ ] 1037    0    0   68 / 1000    31.8s test_prop_SinglePreserve (collecting)
[ ] 1040    0    0   68 / 1000    32.4s test_prop_SinglePreserve (collecting)
[ ] 1067    0    0   73 / 1000    34.9s test_prop_SinglePreserve (collecting)
[ ] 1069    0    0   73 / 1000    35.0s test_prop_SinglePreserve (collecting)
[ ] 1077    0    0   74 / 1000    35.2s test_prop_SinglePreserve (collecting)
[ ] 1114    0    0   78 / 1000    35.7s test_prop_SinglePreserve (collecting)
[ ] 1115    0    0   78 / 1000    38.1s test_prop_SinglePreserve (collecting)
[ ] 1125    0    0   79 / 1000    38.3s test_prop_SinglePreserve (collecting)
[ ] 1142    0    0   82 / 1000    38.4s test_prop_SinglePreserve (collecting)
[ ] 1145    0    0   82 / 1000    38.5s test_prop_SinglePreserve (collecting)
[ ] 1163    0    0   84 / 1000    38.7s test_prop_SinglePreserve (collecting)
[ ] 1191    0    0   85 / 1000    39.7s test_prop_SinglePreserve (collecting)
[✓] 1200    0    0   86 / 1000    39.7s test_prop_SinglePreserve
================================================================================
success (ran 1 tests)
|prop_SinglePreserve -> 39457.70]
[prop_SinglePreserve|
generated error fail pass / total     time test name
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve (generating)
[ ]    8    0    0    0 / 1000     0.3s test_prop_SinglePreserve (collecting)
[ ]   24    0    0    2 / 1000     0.5s test_prop_SinglePreserve (collecting)
[ ]   37    0    0    5 / 1000     1.2s test_prop_SinglePreserve (collecting)
[ ]   45    0    0    6 / 1000     1.5s test_prop_SinglePreserve (collecting)
[ ]   55    0    0    6 / 1000     2.3s test_prop_SinglePreserve (collecting)
[ ]   72    0    0    7 / 1000     2.4s test_prop_SinglePreserve (collecting)
[ ]   80    0    0    8 / 1000     2.6s test_prop_SinglePreserve (collecting)
[ ]  104    0    0   10 / 1000     3.4s test_prop_SinglePreserve (collecting)
[ ]  143    0    0   12 / 1000     3.7s test_prop_SinglePreserve (collecting)
[ ]  157    0    0   12 / 1000     4.5s test_prop_SinglePreserve (collecting)
[ ]  160    0    0   12 / 1000     5.3s test_prop_SinglePreserve (collecting)
[ ]  167    0    0   15 / 1000     5.9s test_prop_SinglePreserve (collecting)
[ ]  175    0    0   16 / 1000     6.5s test_prop_SinglePreserve (collecting)
[ ]  193    0    0   17 / 1000     7.4s test_prop_SinglePreserve (collecting)
[ ]  194    0    0   17 / 1000     9.5s test_prop_SinglePreserve (collecting)
[ ]  212    0    0   17 / 1000     9.6s test_prop_SinglePreserve (collecting)
[ ]  229    0    0   22 / 1000    10.1s test_prop_SinglePreserve (collecting)
[ ]  231    0    0   22 / 1000    12.5s test_prop_SinglePreserve (collecting)
[ ]  258    0    0   25 / 1000    12.6s test_prop_SinglePreserve (collecting)
[ ]  300    0    0   28 / 1000    14.7s test_prop_SinglePreserve (collecting)
[ ]  306    0    0   28 / 1000    14.8s test_prop_SinglePreserve (collecting)
[ ]  314    0    0   28 / 1000    14.9s test_prop_SinglePreserve (collecting)
[ ]  319    0    0   29 / 1000    15.6s test_prop_SinglePreserve (collecting)
[ ]  338    0    0   29 / 1000    17.7s test_prop_SinglePreserve (collecting)
[ ]  353    0    0   31 / 1000    18.4s test_prop_SinglePreserve (collecting)
[ ]  354    0    0   31 / 1000    19.1s test_prop_SinglePreserve (collecting)
[ ]  362    0    0   31 / 1000    21.4s test_prop_SinglePreserve (collecting)
[ ]  369    0    0   32 / 1000    22.1s test_prop_SinglePreserve (collecting)
[ ]  385    0    0   34 / 1000    22.3s test_prop_SinglePreserve (collecting)
[ ]  388    0    0   34 / 1000    22.4s test_prop_SinglePreserve (collecting)
[ ]  408    0    0   35 / 1000    24.8s test_prop_SinglePreserve (collecting)
[ ]  410    0    0   35 / 1000    25.5s test_prop_SinglePreserve (collecting)
[ ]  430    0    0   38 / 1000    26.4s test_prop_SinglePreserve (collecting)
[ ]  441    0    0   39 / 1000    28.8s test_prop_SinglePreserve (collecting)
[ ]  450    0    0   40 / 1000    29.6s test_prop_SinglePreserve (collecting)
[ ]  452    0    0   40 / 1000    31.9s test_prop_SinglePreserve (collecting)
[ ]  466    0    0   42 / 1000    32.0s test_prop_SinglePreserve (collecting)
[ ]  498    0    0   43 / 1000    32.1s test_prop_SinglePreserve (collecting)
[ ]  500    0    0   43 / 1000    32.6s test_prop_SinglePreserve (collecting)
[ ]  507    0    0   43 / 1000    33.1s test_prop_SinglePreserve (collecting)
[ ]  512    0    0   43 / 1000    33.2s test_prop_SinglePreserve (collecting)
[ ]  546    0    0   46 / 1000    34.0s test_prop_SinglePreserve (collecting)
[ ]  567    0    0   47 / 1000    36.5s test_prop_SinglePreserve (collecting)
[ ]  583    0    0   47 / 1000    37.0s test_prop_SinglePreserve (collecting)
[ ]  596    0    0   49 / 1000    39.4s test_prop_SinglePreserve (collecting)
[ ]  607    0    0   49 / 1000    39.8s test_prop_SinglePreserve (collecting)
[ ]  622    0    0   51 / 1000    42.0s test_prop_SinglePreserve (collecting)
[ ]  637    0    0   54 / 1000    42.1s test_prop_SinglePreserve (collecting)
[ ]  641    0    0   54 / 1000    42.2s test_prop_SinglePreserve (collecting)
[ ]  648    0    0   54 / 1000    42.8s test_prop_SinglePreserve (collecting)
[ ]  652    0    0   54 / 1000    45.1s test_prop_SinglePreserve (collecting)
[ ]  654    0    0   54 / 1000    45.6s test_prop_SinglePreserve (collecting)
[ ]  655    0    0   54 / 1000    45.7s test_prop_SinglePreserve (collecting)
[ ]  657    0    0   54 / 1000    48.0s test_prop_SinglePreserve (collecting)
[ ]  697    0    0   55 / 1000    50.5s test_prop_SinglePreserve (collecting)
[ ]  698    0    0   55 / 1000    51.2s test_prop_SinglePreserve (collecting)
