[prop_SinglePreserve|
generated error fail pass / total     time test name
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve (generating)
[ ]   52    0    0    3 / 1000     2.4s test_prop_SinglePreserve (collecting)
[ ]   53    0    0    3 / 1000     2.6s test_prop_SinglePreserve (collecting)
[ ]   64    0    0    6 / 1000     2.7s test_prop_SinglePreserve (collecting)
[ ]   92    0    0    9 / 1000     2.8s test_prop_SinglePreserve (collecting)
[ ]   95    0    0    9 / 1000     3.5s test_prop_SinglePreserve (collecting)
[ ]  101    0    0   11 / 1000     3.7s test_prop_SinglePreserve (collecting)
[ ]  123    0    0   12 / 1000     3.8s test_prop_SinglePreserve (collecting)
[ ]  146    0    0   19 / 1000     3.9s test_prop_SinglePreserve (collecting)
[ ]  146    0    0   19 / 1000     4.0s test_prop_SinglePreserve (   testing)
[ ]  168    0    0   22 / 1000     4.1s test_prop_SinglePreserve (collecting)
[ ]  181    0    0   22 / 1000     4.3s test_prop_SinglePreserve (collecting)
[ ]  194    0    0   24 / 1000     5.2s test_prop_SinglePreserve (collecting)
[ ]  199    0    0   24 / 1000     5.4s test_prop_SinglePreserve (collecting)
[ ]  219    0    0   24 / 1000     5.5s test_prop_SinglePreserve (collecting)
[ ]  240    0    0   25 / 1000     5.9s test_prop_SinglePreserve (collecting)
[ ]  260    0    0   27 / 1000     6.0s test_prop_SinglePreserve (collecting)
[ ]  263    0    0   27 / 1000     8.2s test_prop_SinglePreserve (collecting)
[ ]  264    0    0   27 / 1000     8.9s test_prop_SinglePreserve (collecting)
[ ]  279    0    0   28 / 1000     9.1s test_prop_SinglePreserve (collecting)
[ ]  286    0    0   28 / 1000     9.8s test_prop_SinglePreserve (collecting)
[ ]  295    0    0   28 / 1000     9.9s test_prop_SinglePreserve (collecting)
[ ]  309    0    0   29 / 1000    10.7s test_prop_SinglePreserve (collecting)
[ ]  321    0    0   29 / 1000    10.9s test_prop_SinglePreserve (collecting)
[ ]  325    0    0   29 / 1000    11.2s test_prop_SinglePreserve (collecting)
[ ]  344    0    0   30 / 1000    11.9s test_prop_SinglePreserve (collecting)
[ ]  357    0    0   31 / 1000    12.2s test_prop_SinglePreserve (collecting)
[ ]  417    0    0   39 / 1000    12.3s test_prop_SinglePreserve (collecting)
[ ]  433    0    0   39 / 1000    12.4s test_prop_SinglePreserve (collecting)
[ ]  447    0    0   39 / 1000    13.1s test_prop_SinglePreserve (collecting)
[ ]  451    0    0   40 / 1000    14.0s test_prop_SinglePreserve (collecting)
[ ]  468    0    0   41 / 1000    16.5s test_prop_SinglePreserve (collecting)
[ ]  503    0    0   42 / 1000    18.8s test_prop_SinglePreserve (collecting)
[ ]  513    0    0   42 / 1000    19.5s test_prop_SinglePreserve (collecting)
[ ]  551    0    0   48 / 1000    22.0s test_prop_SinglePreserve (collecting)
[ ]  561    0    0   50 / 1000    22.7s test_prop_SinglePreserve (collecting)
[ ]  565    0    0   50 / 1000    22.9s test_prop_SinglePreserve (collecting)
[ ]  602    0    0   57 / 1000    25.0s test_prop_SinglePreserve (collecting)
[ ]  612    0    0   58 / 1000    25.8s test_prop_SinglePreserve (collecting)
[ ]  633    0    0   64 / 1000    25.9s test_prop_SinglePreserve (collecting)
[ ]  659    0    0   65 / 1000    26.0s test_prop_SinglePreserve (collecting)
[ ]  700    0    0   69 / 1000    27.0s test_prop_SinglePreserve (collecting)
[ ]  721    0    0   70 / 1000    27.7s test_prop_SinglePreserve (collecting)
[ ]  725    0    0   70 / 1000    27.9s test_prop_SinglePreserve (collecting)
[ ]  731    0    0   70 / 1000    28.6s test_prop_SinglePreserve (collecting)
[ ]  739    0    0   71 / 1000    28.9s test_prop_SinglePreserve (collecting)
[ ]  763    0    0   73 / 1000    29.7s test_prop_SinglePreserve (collecting)
[ ]  816    0    0   76 / 1000    30.1s test_prop_SinglePreserve (collecting)
[ ]  824    0    0   76 / 1000    30.3s test_prop_SinglePreserve (collecting)
[ ]  832    0    0   77 / 1000    30.5s test_prop_SinglePreserve (collecting)
[ ]  845    0    0   77 / 1000    32.9s test_prop_SinglePreserve (collecting)
[ ]  865    0    0   78 / 1000    33.0s test_prop_SinglePreserve (collecting)
[ ]  871    0    0   79 / 1000    33.2s test_prop_SinglePreserve (collecting)
[ ]  873    0    0   79 / 1000    33.4s test_prop_SinglePreserve (collecting)
[ ]  892    0    0   81 / 1000    34.3s test_prop_SinglePreserve (collecting)
[ ]  949    0    0   85 / 1000    34.4s test_prop_SinglePreserve (collecting)
[ ]  966    0    0   86 / 1000    35.2s test_prop_SinglePreserve (collecting)
[ ]  973    0    0   86 / 1000    37.6s test_prop_SinglePreserve (collecting)
[ ]  981    0    0   87 / 1000    38.0s test_prop_SinglePreserve (collecting)
[ ]  983    0    0   87 / 1000    38.4s test_prop_SinglePreserve (collecting)
[ ]  995    0    0   88 / 1000    38.7s test_prop_SinglePreserve (collecting)
[ ] 1002    0    0   88 / 1000    41.0s test_prop_SinglePreserve (collecting)
[ ] 1023    0    0   90 / 1000    41.1s test_prop_SinglePreserve (collecting)
[ ] 1047    0    0   92 / 1000    41.2s test_prop_SinglePreserve (collecting)
[ ] 1069    0    0   93 / 1000    41.3s test_prop_SinglePreserve (collecting)
[ ] 1096    0    0   99 / 1000    41.6s test_prop_SinglePreserve (collecting)
[ ] 1107    0    0   99 / 1000    42.5s test_prop_SinglePreserve (collecting)
[ ] 1109    0    0   99 / 1000    44.7s test_prop_SinglePreserve (collecting)
[ ] 1142    0    0   99 / 1000    45.2s test_prop_SinglePreserve (collecting)
[ ] 1168    0    0  104 / 1000    45.4s test_prop_SinglePreserve (collecting)
[ ] 1171    0    0  104 / 1000    46.2s test_prop_SinglePreserve (collecting)
[ ] 1180    0    0  105 / 1000    46.9s test_prop_SinglePreserve (collecting)
[ ] 1191    0    0  106 / 1000    47.6s test_prop_SinglePreserve (collecting)
