[prop_SinglePreserve|
generated error fail pass / total     time test name
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve (generating)
[ ]   50    0    0    3 / 1000     0.1s test_prop_SinglePreserve (collecting)
[ ]   65    0    0    6 / 1000     2.3s test_prop_SinglePreserve (collecting)
[ ]   80    0    0    9 / 1000     2.4s test_prop_SinglePreserve (collecting)
[ ]   92    0    0    9 / 1000     2.5s test_prop_SinglePreserve (collecting)
[ ]  104    0    0    9 / 1000     3.2s test_prop_SinglePreserve (collecting)
[ ]  149    0    0   11 / 1000     3.3s test_prop_SinglePreserve (collecting)
[ ]  169    0    0   12 / 1000     4.4s test_prop_SinglePreserve (collecting)
[ ]  234    0    0   17 / 1000     4.6s test_prop_SinglePreserve (collecting)
[ ]  251    0    0   17 / 1000     4.7s test_prop_SinglePreserve (collecting)
[ ]  267    0    0   19 / 1000     5.5s test_prop_SinglePreserve (collecting)
[ ]  280    0    0   20 / 1000     7.6s test_prop_SinglePreserve (collecting)
[ ]  283    0    0   22 / 1000     8.4s test_prop_SinglePreserve (collecting)
[ ]  302    0    0   26 / 1000    11.0s test_prop_SinglePreserve (collecting)
[ ]  314    0    0   26 / 1000    13.2s test_prop_SinglePreserve (collecting)
[ ]  317    0    0   26 / 1000    13.3s test_prop_SinglePreserve (collecting)
[ ]  319    0    0   26 / 1000    16.1s test_prop_SinglePreserve (collecting)
[ ]  323    0    0   26 / 1000    16.6s test_prop_SinglePreserve (collecting)
[ ]  342    0    0   26 / 1000    17.1s test_prop_SinglePreserve (collecting)
[ ]  368    0    0   29 / 1000    17.2s test_prop_SinglePreserve (collecting)
[ ]  409    0    0   30 / 1000    17.3s test_prop_SinglePreserve (collecting)
[ ]  412    0    0   30 / 1000    18.0s test_prop_SinglePreserve (collecting)
[ ]  430    0    0   32 / 1000    18.2s test_prop_SinglePreserve (collecting)
[ ]  453    0    0   35 / 1000    18.3s test_prop_SinglePreserve (collecting)
[ ]  458    0    0   36 / 1000    20.4s test_prop_SinglePreserve (collecting)
[ ]  475    0    0   36 / 1000    21.5s test_prop_SinglePreserve (collecting)
[ ]  492    0    0   36 / 1000    22.2s test_prop_SinglePreserve (collecting)
[ ]  502    0    0   37 / 1000    23.0s test_prop_SinglePreserve (collecting)
[ ]  520    0    0   37 / 1000    23.1s test_prop_SinglePreserve (collecting)
[ ]  526    0    0   37 / 1000    23.9s test_prop_SinglePreserve (collecting)
[ ]  542    0    0   38 / 1000    26.0s test_prop_SinglePreserve (collecting)
[ ]  581    0    0   42 / 1000    26.2s test_prop_SinglePreserve (collecting)
[ ]  586    0    0   43 / 1000    26.3s test_prop_SinglePreserve (collecting)
[ ]  589    0    0   43 / 1000    27.0s test_prop_SinglePreserve (collecting)
[ ]  607    0    0   44 / 1000    27.2s test_prop_SinglePreserve (collecting)
[ ]  638    0    0   44 / 1000    28.2s test_prop_SinglePreserve (collecting)
[ ]  667    0    0   48 / 1000    30.6s test_prop_SinglePreserve (collecting)
[ ]  709    0    0   49 / 1000    30.7s test_prop_SinglePreserve (collecting)
[ ]  713    0    0   49 / 1000    30.9s test_prop_SinglePreserve (collecting)
[ ]  746    0    0   53 / 1000    31.8s test_prop_SinglePreserve (collecting)
[ ]  760    0    0   54 / 1000    34.1s test_prop_SinglePreserve (collecting)
[ ]  764    0    0   54 / 1000    34.2s test_prop_SinglePreserve (collecting)
[ ]  769    0    0   55 / 1000    34.3s test_prop_SinglePreserve (collecting)
[ ]  780    0    0   56 / 1000    34.5s test_prop_SinglePreserve (collecting)
[ ]  796    0    0   57 / 1000    34.7s test_prop_SinglePreserve (collecting)
[ ]  804    0    0   58 / 1000    35.3s test_prop_SinglePreserve (collecting)
