[prop_MultiPreserve|
generated error fail pass / total     time test name
[ ]    0    0    0    0 / 1000     0.0s test_prop_MultiPreserve
[ ]    0    0    0    0 / 1000     0.0s test_prop_MultiPreserve (generating)
[ ]    6    0    0    0 / 1000     0.4s test_prop_MultiPreserve (collecting)
[ ]   16    0    0    0 / 1000     1.3s test_prop_MultiPreserve (collecting)
[ ]   17    0    0    0 / 1000     3.5s test_prop_MultiPreserve (collecting)
[ ]   20    0    0    0 / 1000     4.0s test_prop_MultiPreserve (collecting)
[ ]   29    0    0    0 / 1000     6.4s test_prop_MultiPreserve (collecting)
[ ]   38    0    0    1 / 1000     6.5s test_prop_MultiPreserve (collecting)
[ ]   43    0    0    1 / 1000     6.6s test_prop_MultiPreserve (collecting)
[ ]   55    0    0    3 / 1000     6.8s test_prop_MultiPreserve (collecting)
[ ]   81    0    0    3 / 1000     6.9s test_prop_MultiPreserve (collecting)
[ ]   83    0    0    3 / 1000     7.4s test_prop_MultiPreserve (collecting)
[ ]   87    0    0    4 / 1000     8.3s test_prop_MultiPreserve (collecting)
[ ]  115    0    0    5 / 1000     8.4s test_prop_MultiPreserve (collecting)
[ ]  134    0    0    7 / 1000     9.3s test_prop_MultiPreserve (collecting)
[ ]  137    0    0    7 / 1000     9.5s test_prop_MultiPreserve (collecting)
[ ]  157    0    0    7 / 1000     9.8s test_prop_MultiPreserve (collecting)
[ ]  162    0    0    7 / 1000    12.3s test_prop_MultiPreserve (collecting)
[ ]  176    0    0    7 / 1000    13.0s test_prop_MultiPreserve (collecting)
[ ]  185    0    0    7 / 1000    15.6s test_prop_MultiPreserve (collecting)
[ ]  198    0    0    7 / 1000    15.8s test_prop_MultiPreserve (collecting)
[ ]  210    0    0    7 / 1000    15.9s test_prop_MultiPreserve (collecting)
[ ]  239    0    0    8 / 1000    16.1s test_prop_MultiPreserve (collecting)
[ ]  297    0    0   10 / 1000    18.5s test_prop_MultiPreserve (collecting)
[ ]  317    0    0   14 / 1000    18.6s test_prop_MultiPreserve (collecting)
[ ]  331    0    0   14 / 1000    18.8s test_prop_MultiPreserve (collecting)
[ ]  333    0    0   14 / 1000    19.4s test_prop_MultiPreserve (collecting)
[ ]  334    0    0   14 / 1000    20.3s test_prop_MultiPreserve (collecting)
[ ]  337    0    0   14 / 1000    20.4s test_prop_MultiPreserve (collecting)
[ ]  373    0    0   17 / 1000    20.5s test_prop_MultiPreserve (collecting)
[ ]  398    0    0   19 / 1000    20.6s test_prop_MultiPreserve (collecting)
[ ]  430    0    0   20 / 1000    20.8s test_prop_MultiPreserve (collecting)
[ ]  462    0    0   22 / 1000    20.9s test_prop_MultiPreserve (collecting)
[ ]  480    0    0   23 / 1000    21.0s test_prop_MultiPreserve (collecting)
[ ]  498    0    0   23 / 1000    21.8s test_prop_MultiPreserve (collecting)
[ ]  523    0    0   26 / 1000    22.7s test_prop_MultiPreserve (collecting)
[ ]  528    0    0   26 / 1000    22.9s test_prop_MultiPreserve (collecting)
[ ]  556    0    0   27 / 1000    23.0s test_prop_MultiPreserve (collecting)
[ ]  594    0    0   32 / 1000    23.1s test_prop_MultiPreserve (collecting)
[ ]  623    0    0   35 / 1000    23.4s test_prop_MultiPreserve (collecting)
[ ]  625    0    0   35 / 1000    24.2s test_prop_MultiPreserve (collecting)
[ ]  637    0    0   37 / 1000    24.3s test_prop_MultiPreserve (collecting)
[ ]  647    0    0   37 / 1000    24.5s test_prop_MultiPreserve (collecting)
[ ]  648    0    0   37 / 1000    27.0s test_prop_MultiPreserve (collecting)
[ ]  657    0    0   37 / 1000    27.5s test_prop_MultiPreserve (collecting)
[ ]  688    0    0   40 / 1000    27.7s test_prop_MultiPreserve (collecting)
[ ]  712    0    0   41 / 1000    27.8s test_prop_MultiPreserve (collecting)
[ ]  717    0    0   41 / 1000    28.2s test_prop_MultiPreserve (collecting)
[ ]  773    0    0   47 / 1000    29.0s test_prop_MultiPreserve (collecting)
[ ]  777    0    0   47 / 1000    29.1s test_prop_MultiPreserve (collecting)
[ ]  809    0    0   49 / 1000    29.2s test_prop_MultiPreserve (collecting)
[ ]  816    0    0   50 / 1000    31.3s test_prop_MultiPreserve (collecting)
[ ]  818    0    0   50 / 1000    31.5s test_prop_MultiPreserve (collecting)
[ ]  827    0    0   50 / 1000    32.4s test_prop_MultiPreserve (collecting)
[ ]  839    0    0   50 / 1000    32.7s test_prop_MultiPreserve (collecting)
[ ]  841    0    0   50 / 1000    32.9s test_prop_MultiPreserve (collecting)
[ ]  856    0    0   51 / 1000    33.7s test_prop_MultiPreserve (collecting)
[ ]  857    0    0   51 / 1000    34.3s test_prop_MultiPreserve (collecting)
[ ]  866    0    0   52 / 1000    35.2s test_prop_MultiPreserve (collecting)
[ ]  877    0    0   54 / 1000    37.5s test_prop_MultiPreserve (collecting)
[ ]  900    0    0   56 / 1000    37.7s test_prop_MultiPreserve (collecting)
[ ]  908    0    0   56 / 1000    38.1s test_prop_MultiPreserve (collecting)
[ ]  952    0    0   62 / 1000    38.2s test_prop_MultiPreserve (collecting)
[ ]  970    0    0   64 / 1000    38.3s test_prop_MultiPreserve (collecting)
[ ]  998    0    0   69 / 1000    38.4s test_prop_MultiPreserve (collecting)
[ ] 1003    0    0   69 / 1000    39.2s test_prop_MultiPreserve (collecting)
[ ] 1004    0    0   69 / 1000    41.2s test_prop_MultiPreserve (collecting)
[ ] 1057    0    0   78 / 1000    42.0s test_prop_MultiPreserve (collecting)
[ ] 1062    0    0   79 / 1000    42.7s test_prop_MultiPreserve (collecting)
[ ] 1101    0    0   82 / 1000    42.9s test_prop_MultiPreserve (collecting)
[ ] 1108    0    0   83 / 1000    43.0s test_prop_MultiPreserve (collecting)
[ ] 1112    0    0   83 / 1000    43.2s test_prop_MultiPreserve (collecting)
[ ] 1145    0    0   88 / 1000    43.3s test_prop_MultiPreserve (collecting)
[ ] 1162    0    0   88 / 1000    43.4s test_prop_MultiPreserve (collecting)
[ ] 1184    0    0   90 / 1000    43.5s test_prop_MultiPreserve (collecting)
[ ] 1195    0    0   91 / 1000    44.4s test_prop_MultiPreserve (collecting)
[✓] 1200    0    0   91 / 1000    44.4s test_prop_MultiPreserve
================================================================================
success (ran 1 tests)
|prop_MultiPreserve -> 44299.52]
[prop_MultiPreserve|
generated error fail pass / total     time test name
[ ]    0    0    0    0 / 1000     0.0s test_prop_MultiPreserve
