[prop_SinglePreserve|
generated error fail pass / total     time test name
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve (generating)
[ ]    0    0    0    0 / 1000     0.3s test_prop_SinglePreserve (collecting)
[ ]    9    0    0    1 / 1000     0.5s test_prop_SinglePreserve (collecting)
[ ]   50    0    0    4 / 1000     0.7s test_prop_SinglePreserve (collecting)
[ ]   61    0    0    4 / 1000     1.4s test_prop_SinglePreserve (collecting)
[ ]   72    0    0    4 / 1000     1.7s test_prop_SinglePreserve (collecting)
[ ]   78    0    0    4 / 1000     3.7s test_prop_SinglePreserve (collecting)
[ ]  115    0    0   13 / 1000     6.3s test_prop_SinglePreserve (collecting)
[ ]  131    0    0   15 / 1000     8.7s test_prop_SinglePreserve (collecting)
[ ]  135    0    0   15 / 1000     9.0s test_prop_SinglePreserve (collecting)
[ ]  142    0    0   16 / 1000     9.1s test_prop_SinglePreserve (collecting)
[ ]  146    0    0   16 / 1000     9.3s test_prop_SinglePreserve (collecting)
[ ]  175    0    0   18 / 1000    12.0s test_prop_SinglePreserve (collecting)
[ ]  211    0    0   23 / 1000    12.2s test_prop_SinglePreserve (collecting)
[ ]  237    0    0   23 / 1000    12.3s test_prop_SinglePreserve (collecting)
[ ]  238    0    0   23 / 1000    12.4s test_prop_SinglePreserve (collecting)
[ ]  265    0    0   27 / 1000    13.3s test_prop_SinglePreserve (collecting)
[ ]  267    0    0   27 / 1000    15.6s test_prop_SinglePreserve (collecting)
[ ]  269    0    0   27 / 1000    16.4s test_prop_SinglePreserve (collecting)
[ ]  273    0    0   27 / 1000    16.6s test_prop_SinglePreserve (collecting)
[ ]  278    0    0   27 / 1000    17.5s test_prop_SinglePreserve (collecting)
[ ]  294    0    0   28 / 1000    17.6s test_prop_SinglePreserve (collecting)
[ ]  295    0    0   28 / 1000    19.7s test_prop_SinglePreserve (collecting)
[ ]  309    0    0   30 / 1000    22.6s test_prop_SinglePreserve (collecting)
[ ]  330    0    0   33 / 1000    23.1s test_prop_SinglePreserve (collecting)
[ ]  367    0    0   37 / 1000    23.3s test_prop_SinglePreserve (collecting)
[ ]  394    0    0   40 / 1000    23.4s test_prop_SinglePreserve (collecting)
[ ]  421    0    0   40 / 1000    23.5s test_prop_SinglePreserve (collecting)
[ ]  426    0    0   40 / 1000    23.8s test_prop_SinglePreserve (collecting)
[ ]  427    0    0   40 / 1000    26.1s test_prop_SinglePreserve (collecting)
[ ]  459    0    0   40 / 1000    26.3s test_prop_SinglePreserve (collecting)
[ ]  468    0    0   40 / 1000    26.4s test_prop_SinglePreserve (collecting)
