[prop_SinglePreserve|
generated error fail pass / total     time test name
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve (generating)
[ ]    7    0    0    0 / 1000     0.3s test_prop_SinglePreserve (collecting)
[ ]    8    0    0    0 / 1000     2.6s test_prop_SinglePreserve (collecting)
[ ]   43    0    0    6 / 1000     3.2s test_prop_SinglePreserve (collecting)
[ ]   71    0    0    8 / 1000     3.3s test_prop_SinglePreserve (collecting)
[ ]   80    0    0   10 / 1000     4.1s test_prop_SinglePreserve (collecting)
[ ]  104    0    0   10 / 1000     4.7s test_prop_SinglePreserve (collecting)
[ ]  105    0    0   10 / 1000     7.0s test_prop_SinglePreserve (collecting)
[ ]  130    0    0   13 / 1000     7.6s test_prop_SinglePreserve (collecting)
[ ]  146    0    0   15 / 1000     8.5s test_prop_SinglePreserve (collecting)
[ ]  152    0    0   15 / 1000    10.7s test_prop_SinglePreserve (collecting)
[ ]  161    0    0   15 / 1000    13.7s test_prop_SinglePreserve (collecting)
[ ]  175    0    0   18 / 1000    15.8s test_prop_SinglePreserve (collecting)
[ ]  181    0    0   18 / 1000    15.9s test_prop_SinglePreserve (collecting)
[ ]  197    0    0   20 / 1000    16.1s test_prop_SinglePreserve (collecting)
[ ]  200    0    0   20 / 1000    16.3s test_prop_SinglePreserve (collecting)
[ ]  201    0    0   20 / 1000    18.5s test_prop_SinglePreserve (collecting)
[ ]  212    0    0   21 / 1000    18.6s test_prop_SinglePreserve (collecting)
[ ]  222    0    0   22 / 1000    18.8s test_prop_SinglePreserve (collecting)
[ ]  232    0    0   23 / 1000    19.3s test_prop_SinglePreserve (collecting)
[ ]  240    0    0   23 / 1000    19.6s test_prop_SinglePreserve (collecting)
[ ]  245    0    0   25 / 1000    22.1s test_prop_SinglePreserve (collecting)
[ ]  253    0    0   25 / 1000    22.2s test_prop_SinglePreserve (collecting)
[ ]  272    0    0   27 / 1000    22.4s test_prop_SinglePreserve (collecting)
[ ]  290    0    0   28 / 1000    22.5s test_prop_SinglePreserve (collecting)
[ ]  300    0    0   29 / 1000    23.1s test_prop_SinglePreserve (collecting)
[ ]  325    0    0   32 / 1000    23.2s test_prop_SinglePreserve (collecting)
[ ]  342    0    0   32 / 1000    24.3s test_prop_SinglePreserve (collecting)
[ ]  358    0    0   33 / 1000    25.1s test_prop_SinglePreserve (collecting)
[ ]  364    0    0   33 / 1000    25.2s test_prop_SinglePreserve (collecting)
[ ]  369    0    0   33 / 1000    25.3s test_prop_SinglePreserve (collecting)
[ ]  399    0    0   35 / 1000    25.4s test_prop_SinglePreserve (collecting)
[ ]  442    0    0   39 / 1000    25.6s test_prop_SinglePreserve (collecting)
[ ]  467    0    0   42 / 1000    25.9s test_prop_SinglePreserve (collecting)
[ ]  480    0    0   44 / 1000    26.6s test_prop_SinglePreserve (collecting)
[ ]  493    0    0   45 / 1000    26.9s test_prop_SinglePreserve (collecting)
[ ]  500    0    0   45 / 1000    27.9s test_prop_SinglePreserve (collecting)
[ ]  519    0    0   46 / 1000    30.1s test_prop_SinglePreserve (collecting)
[ ]  534    0    0   50 / 1000    30.6s test_prop_SinglePreserve (collecting)
[ ]  536    0    0   51 / 1000    30.7s test_prop_SinglePreserve (collecting)
