[prop_MultiPreserve|
generated error fail pass / total     time test name
[ ]    0    0    0    0 / 1000     0.0s test_prop_MultiPreserve
[ ]    0    0    0    0 / 1000     0.0s test_prop_MultiPreserve (generating)
[ ]   28    0    0    4 / 1000     2.3s test_prop_MultiPreserve (collecting)
[ ]   48    0    0    5 / 1000     3.2s test_prop_MultiPreserve (collecting)
[ ]   58    0    0    6 / 1000     5.4s test_prop_MultiPreserve (collecting)
[ ]   72    0    0    7 / 1000     5.5s test_prop_MultiPreserve (collecting)
[ ]   92    0    0    8 / 1000     6.6s test_prop_MultiPreserve (collecting)
[ ]  109    0    0    9 / 1000     6.8s test_prop_MultiPreserve (collecting)
[ ]  118    0    0   10 / 1000     9.1s test_prop_MultiPreserve (collecting)
[ ]  125    0    0   11 / 1000    11.4s test_prop_MultiPreserve (collecting)
[ ]  126    0    0   11 / 1000    12.0s test_prop_MultiPreserve (collecting)
[ ]  161    0    0   13 / 1000    12.3s test_prop_MultiPreserve (collecting)
[ ]  165    0    0   13 / 1000    14.9s test_prop_MultiPreserve (collecting)
[ ]  225    0    0   17 / 1000    15.0s test_prop_MultiPreserve (collecting)
[ ]  244    0    0   18 / 1000    17.2s test_prop_MultiPreserve (collecting)
[ ]  257    0    0   22 / 1000    17.3s test_prop_MultiPreserve (collecting)
[ ]  263    0    0   23 / 1000    17.5s test_prop_MultiPreserve (collecting)
[ ]  303    0    0   24 / 1000    17.6s test_prop_MultiPreserve (collecting)
[ ]  325    0    0   25 / 1000    18.5s test_prop_MultiPreserve (collecting)
[ ]  347    0    0   26 / 1000    18.9s test_prop_MultiPreserve (collecting)
[ ]  357    0    0   26 / 1000    19.0s test_prop_MultiPreserve (collecting)
[ ]  379    0    0   33 / 1000    21.4s test_prop_MultiPreserve (collecting)
[ ]  397    0    0   33 / 1000    21.6s test_prop_MultiPreserve (collecting)
[ ]  452    0    0   36 / 1000    21.7s test_prop_MultiPreserve (collecting)
[ ]  482    0    0   38 / 1000    24.3s test_prop_MultiPreserve (collecting)
[ ]  492    0    0   38 / 1000    24.4s test_prop_MultiPreserve (collecting)
[ ]  494    0    0   38 / 1000    25.0s test_prop_MultiPreserve (collecting)
[ ]  500    0    0   38 / 1000    26.1s test_prop_MultiPreserve (collecting)
[ ]  519    0    0   39 / 1000    27.1s test_prop_MultiPreserve (collecting)
[ ]  527    0    0   39 / 1000    27.3s test_prop_MultiPreserve (collecting)
[ ]  535    0    0   39 / 1000    28.1s test_prop_MultiPreserve (collecting)
[ ]  545    0    0   40 / 1000    28.2s test_prop_MultiPreserve (collecting)
[ ]  569    0    0   40 / 1000    29.1s test_prop_MultiPreserve (collecting)
[ ]  583    0    0   43 / 1000    29.8s test_prop_MultiPreserve (collecting)
[ ]  613    0    0   45 / 1000    30.2s test_prop_MultiPreserve (collecting)
[ ]  655    0    0   49 / 1000    31.0s test_prop_MultiPreserve (collecting)
[ ]  686    0    0   50 / 1000    31.7s test_prop_MultiPreserve (collecting)
[ ]  725    0    0   55 / 1000    31.8s test_prop_MultiPreserve (collecting)
[ ]  731    0    0   57 / 1000    32.7s test_prop_MultiPreserve (collecting)
[ ]  761    0    0   63 / 1000    32.8s test_prop_MultiPreserve (collecting)
[ ]  784    0    0   65 / 1000    35.1s test_prop_MultiPreserve (collecting)
[ ]  817    0    0   65 / 1000    35.7s test_prop_MultiPreserve (collecting)
[ ]  849    0    0   69 / 1000    35.9s test_prop_MultiPreserve (collecting)
[ ]  878    0    0   69 / 1000    36.0s test_prop_MultiPreserve (collecting)
[ ]  887    0    0   70 / 1000    36.7s test_prop_MultiPreserve (collecting)
[ ]  890    0    0   70 / 1000    39.0s test_prop_MultiPreserve (collecting)
[ ]  896    0    0   70 / 1000    41.2s test_prop_MultiPreserve (collecting)
[ ]  905    0    0   70 / 1000    41.3s test_prop_MultiPreserve (collecting)
[ ]  917    0    0   72 / 1000    41.4s test_prop_MultiPreserve (collecting)
[ ]  919    0    0   72 / 1000    42.1s test_prop_MultiPreserve (collecting)
[ ]  950    0    0   76 / 1000    42.2s test_prop_MultiPreserve (collecting)
[ ]  952    0    0   76 / 1000    44.9s test_prop_MultiPreserve (collecting)
[ ]  962    0    0   76 / 1000    45.0s test_prop_MultiPreserve (collecting)
[ ]  990    0    0   78 / 1000    46.1s test_prop_MultiPreserve (collecting)
[ ]  993    0    0   78 / 1000    46.9s test_prop_MultiPreserve (collecting)
[ ]  996    0    0   78 / 1000    47.0s test_prop_MultiPreserve (collecting)
[ ] 1010    0    0   79 / 1000    47.7s test_prop_MultiPreserve (collecting)
[ ] 1014    0    0   79 / 1000    48.5s test_prop_MultiPreserve (collecting)
[ ] 1016    0    0   79 / 1000    48.7s test_prop_MultiPreserve (collecting)
[ ] 1026    0    0   79 / 1000    49.5s test_prop_MultiPreserve (collecting)
[ ] 1042    0    0   81 / 1000    50.3s test_prop_MultiPreserve (collecting)
[ ] 1043    0    0   81 / 1000    51.0s test_prop_MultiPreserve (collecting)
[ ] 1049    0    0   82 / 1000    51.3s test_prop_MultiPreserve (collecting)
[ ] 1107    0    0   85 / 1000    51.4s test_prop_MultiPreserve (collecting)
[ ] 1118    0    0   85 / 1000    52.2s test_prop_MultiPreserve (collecting)
[ ] 1128    0    0   86 / 1000    54.4s test_prop_MultiPreserve (collecting)
[ ] 1149    0    0   86 / 1000    54.6s test_prop_MultiPreserve (collecting)
[ ] 1183    0    0   91 / 1000    55.5s test_prop_MultiPreserve (collecting)
[ ] 1188    0    0   91 / 1000    57.7s test_prop_MultiPreserve (collecting)
[✓] 1200    0    0   91 / 1000    57.8s test_prop_MultiPreserve
================================================================================
success (ran 1 tests)
|prop_MultiPreserve -> 57725.34]
[prop_MultiPreserve|
generated error fail pass / total     time test name
[ ]    0    0    0    0 / 1000     0.0s test_prop_MultiPreserve
[ ]    0    0    0    0 / 1000     0.0s test_prop_MultiPreserve (generating)
[ ]   12    0    0    0 / 1000     0.9s test_prop_MultiPreserve (collecting)
[ ]   24    0    0    4 / 1000     3.2s test_prop_MultiPreserve (collecting)
[ ]   40    0    0    5 / 1000     5.6s test_prop_MultiPreserve (collecting)
[ ]   46    0    0    6 / 1000     7.8s test_prop_MultiPreserve (collecting)
[ ]   79    0    0    7 / 1000     8.5s test_prop_MultiPreserve (collecting)
[ ]  123    0    0    8 / 1000     8.7s test_prop_MultiPreserve (collecting)
[ ]  135    0    0   10 / 1000     9.5s test_prop_MultiPreserve (collecting)
[ ]  143    0    0   10 / 1000     9.6s test_prop_MultiPreserve (collecting)
[ ]  203    0    0   13 / 1000     9.7s test_prop_MultiPreserve (collecting)
[ ]  217    0    0   16 / 1000     9.8s test_prop_MultiPreserve (collecting)
[ ]  227    0    0   17 / 1000    10.6s test_prop_MultiPreserve (collecting)
[ ]  246    0    0   18 / 1000    10.9s test_prop_MultiPreserve (collecting)
[ ]  263    0    0   19 / 1000    11.0s test_prop_MultiPreserve (collecting)
[ ]  269    0    0   20 / 1000    11.2s test_prop_MultiPreserve (collecting)
[ ]  277    0    0   21 / 1000    13.5s test_prop_MultiPreserve (collecting)
[ ]  281    0    0   21 / 1000    14.2s test_prop_MultiPreserve (collecting)
[ ]  301    0    0   23 / 1000    15.1s test_prop_MultiPreserve (collecting)
[ ]  304    0    0   23 / 1000    15.9s test_prop_MultiPreserve (collecting)
[ ]  377    0    0   31 / 1000    16.0s test_prop_MultiPreserve (collecting)
[ ]  387    0    0   32 / 1000    16.8s test_prop_MultiPreserve (collecting)
[ ]  412    0    0   34 / 1000    17.6s test_prop_MultiPreserve (collecting)
[ ]  415    0    0   34 / 1000    17.7s test_prop_MultiPreserve (collecting)
[ ]  425    0    0   35 / 1000    17.8s test_prop_MultiPreserve (collecting)
[ ]  443    0    0   36 / 1000    18.6s test_prop_MultiPreserve (collecting)
[ ]  445    0    0   36 / 1000    19.2s test_prop_MultiPreserve (collecting)
[ ]  452    0    0   37 / 1000    19.5s test_prop_MultiPreserve (collecting)
[ ]  455    0    0   37 / 1000    20.1s test_prop_MultiPreserve (collecting)
[ ]  476    0    0   38 / 1000    20.3s test_prop_MultiPreserve (collecting)
[ ]  481    0    0   38 / 1000    20.4s test_prop_MultiPreserve (collecting)
[ ]  537    0    0   43 / 1000    20.6s test_prop_MultiPreserve (collecting)
[ ]  549    0    0   44 / 1000    20.9s test_prop_MultiPreserve (collecting)
[ ]  555    0    0   44 / 1000    21.2s test_prop_MultiPreserve (collecting)
[ ]  570    0    0   47 / 1000    21.9s test_prop_MultiPreserve (collecting)
[ ]  609    0    0   50 / 1000    22.5s test_prop_MultiPreserve (collecting)
[ ]  610    0    0   50 / 1000    22.8s test_prop_MultiPreserve (collecting)
[ ]  648    0    0   50 / 1000    22.9s test_prop_MultiPreserve (collecting)
[ ]  655    0    0   51 / 1000    25.1s test_prop_MultiPreserve (collecting)
[ ]  661    0    0   51 / 1000    25.9s test_prop_MultiPreserve (collecting)
[ ]  663    0    0   52 / 1000    26.6s test_prop_MultiPreserve (collecting)
[ ]  671    0    0   53 / 1000    28.8s test_prop_MultiPreserve (collecting)
[ ]  677    0    0   53 / 1000    28.9s test_prop_MultiPreserve (collecting)
[ ]  694    0    0   56 / 1000    29.9s test_prop_MultiPreserve (collecting)
[ ]  698    0    0   56 / 1000    30.2s test_prop_MultiPreserve (collecting)
[ ]  746    0    0   60 / 1000    31.0s test_prop_MultiPreserve (collecting)
[ ]  797    0    0   61 / 1000    31.2s test_prop_MultiPreserve (collecting)
[ ]  827    0    0   64 / 1000    31.3s test_prop_MultiPreserve (collecting)
[ ]  853    0    0   69 / 1000    31.4s test_prop_MultiPreserve (collecting)
[ ]  860    0    0   70 / 1000    31.7s test_prop_MultiPreserve (collecting)
[ ]  902    0    0   71 / 1000    31.8s test_prop_MultiPreserve (collecting)
[ ]  908    0    0   71 / 1000    34.0s test_prop_MultiPreserve (collecting)
[ ]  932    0    0   76 / 1000    34.1s test_prop_MultiPreserve (collecting)
[ ]  945    0    0   79 / 1000    34.9s test_prop_MultiPreserve (collecting)
[ ]  949    0    0   79 / 1000    35.1s test_prop_MultiPreserve (collecting)
[ ]  961    0    0   81 / 1000    36.2s test_prop_MultiPreserve (collecting)
[ ]  978    0    0   83 / 1000    36.9s test_prop_MultiPreserve (collecting)
[ ]  991    0    0   85 / 1000    37.1s test_prop_MultiPreserve (collecting)
[ ] 1002    0    0   86 / 1000    37.4s test_prop_MultiPreserve (collecting)
[ ] 1013    0    0   87 / 1000    39.8s test_prop_MultiPreserve (collecting)
[ ] 1014    0    0   87 / 1000    40.0s test_prop_MultiPreserve (collecting)
[ ] 1026    0    0   88 / 1000    41.1s test_prop_MultiPreserve (collecting)
[ ] 1066    0    0   90 / 1000    41.2s test_prop_MultiPreserve (collecting)
[ ] 1106    0    0   93 / 1000    41.3s test_prop_MultiPreserve (collecting)
[ ] 1129    0    0   93 / 1000    41.4s test_prop_MultiPreserve (collecting)
[ ] 1154    0    0   97 / 1000    41.5s test_prop_MultiPreserve (collecting)
[ ] 1176    0    0  101 / 1000    41.6s test_prop_MultiPreserve (collecting)
[✓] 1200    0    0  105 / 1000    41.7s test_prop_MultiPreserve
================================================================================
success (ran 1 tests)
|prop_MultiPreserve -> 41594.52]
[prop_MultiPreserve|
generated error fail pass / total     time test name
[ ]    0    0    0    0 / 1000     0.0s test_prop_MultiPreserve
[ ]    0    0    0    0 / 1000     0.0s test_prop_MultiPreserve (generating)
[ ]   14    0    0    0 / 1000     0.8s test_prop_MultiPreserve (collecting)
[ ]   24    0    0    2 / 1000     3.1s test_prop_MultiPreserve (collecting)
[ ]   43    0    0    3 / 1000     3.2s test_prop_MultiPreserve (collecting)
[ ]   73    0    0    5 / 1000     5.6s test_prop_MultiPreserve (collecting)
[ ]   74    0    0    5 / 1000     6.3s test_prop_MultiPreserve (collecting)
[ ]  115    0    0    6 / 1000     6.6s test_prop_MultiPreserve (collecting)
[ ]  149    0    0   10 / 1000     7.4s test_prop_MultiPreserve (collecting)
[ ]  157    0    0   10 / 1000     9.7s test_prop_MultiPreserve (collecting)
[ ]  159    0    0   10 / 1000    10.4s test_prop_MultiPreserve (collecting)
[ ]  169    0    0   10 / 1000    10.5s test_prop_MultiPreserve (collecting)
[ ]  171    0    0   10 / 1000    12.7s test_prop_MultiPreserve (collecting)
[ ]  174    0    0   11 / 1000    13.7s test_prop_MultiPreserve (collecting)
[ ]  204    0    0   15 / 1000    13.8s test_prop_MultiPreserve (collecting)
[ ]  225    0    0   18 / 1000    13.9s test_prop_MultiPreserve (collecting)
[ ]  228    0    0   18 / 1000    14.2s test_prop_MultiPreserve (collecting)
[ ]  252    0    0   22 / 1000    14.3s test_prop_MultiPreserve (collecting)
[ ]  285    0    0   24 / 1000    14.4s test_prop_MultiPreserve (collecting)
[ ]  291    0    0   24 / 1000    15.2s test_prop_MultiPreserve (collecting)
[ ]  318    0    0   29 / 1000    15.3s test_prop_MultiPreserve (collecting)
[ ]  330    0    0   30 / 1000    15.4s test_prop_MultiPreserve (collecting)
[ ]  356    0    0   31 / 1000    15.6s test_prop_MultiPreserve (collecting)
[ ]  389    0    0   32 / 1000    18.2s test_prop_MultiPreserve (collecting)
[ ]  409    0    0   33 / 1000    18.3s test_prop_MultiPreserve (collecting)
[ ]  419    0    0   34 / 1000    19.1s test_prop_MultiPreserve (collecting)
[ ]  436    0    0   35 / 1000    19.2s test_prop_MultiPreserve (collecting)
[ ]  453    0    0   38 / 1000    19.3s test_prop_MultiPreserve (collecting)
[ ]  463    0    0   40 / 1000    19.5s test_prop_MultiPreserve (collecting)
[ ]  501    0    0   45 / 1000    19.6s test_prop_MultiPreserve (collecting)
[ ]  522    0    0   46 / 1000    19.7s test_prop_MultiPreserve (collecting)
[ ]  523    0    0   46 / 1000    20.4s test_prop_MultiPreserve (collecting)
[ ]  538    0    0   47 / 1000    22.7s test_prop_MultiPreserve (collecting)
