[prop_SinglePreserve|
generated error fail pass / total     time test name
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve (generating)
[ ]    9    0    0    1 / 1000     0.1s test_prop_SinglePreserve (collecting)
[ ]   30    0    0    5 / 1000     0.4s test_prop_SinglePreserve (collecting)
[ ]   36    0    0    5 / 1000     0.5s test_prop_SinglePreserve (collecting)
[ ]   39    0    0    5 / 1000     2.9s test_prop_SinglePreserve (collecting)
[ ]   50    0    0    5 / 1000     5.2s test_prop_SinglePreserve (collecting)
[ ]   56    0    0    5 / 1000     7.4s test_prop_SinglePreserve (collecting)
[ ]   59    0    0    5 / 1000     7.6s test_prop_SinglePreserve (collecting)
[ ]   77    0    0    8 / 1000     8.1s test_prop_SinglePreserve (collecting)
[ ]  117    0    0   13 / 1000     8.2s test_prop_SinglePreserve (collecting)
[ ]  119    0    0   13 / 1000     9.1s test_prop_SinglePreserve (collecting)
[ ]  121    0    0   13 / 1000     9.7s test_prop_SinglePreserve (collecting)
[ ]  150    0    0   13 / 1000     9.8s test_prop_SinglePreserve (collecting)
[ ]  205    0    0   17 / 1000    10.0s test_prop_SinglePreserve (collecting)
[ ]  219    0    0   19 / 1000    12.2s test_prop_SinglePreserve (collecting)
[ ]  233    0    0   22 / 1000    13.0s test_prop_SinglePreserve (collecting)
[ ]  265    0    0   24 / 1000    13.8s test_prop_SinglePreserve (collecting)
[ ]  276    0    0   24 / 1000    14.1s test_prop_SinglePreserve (collecting)
[ ]  308    0    0   27 / 1000    16.6s test_prop_SinglePreserve (collecting)
[ ]  314    0    0   27 / 1000    17.2s test_prop_SinglePreserve (collecting)
[ ]  344    0    0   29 / 1000    17.3s test_prop_SinglePreserve (collecting)
[ ]  367    0    0   29 / 1000    19.6s test_prop_SinglePreserve (collecting)
[ ]  369    0    0   29 / 1000    21.7s test_prop_SinglePreserve (collecting)
[ ]  395    0    0   31 / 1000    21.8s test_prop_SinglePreserve (collecting)
[ ]  397    0    0   31 / 1000    24.4s test_prop_SinglePreserve (collecting)
[ ]  414    0    0   32 / 1000    25.2s test_prop_SinglePreserve (collecting)
[ ]  422    0    0   33 / 1000    25.3s test_prop_SinglePreserve (collecting)
[ ]  456    0    0   36 / 1000    25.5s test_prop_SinglePreserve (collecting)
[ ]  492    0    0   40 / 1000    26.4s test_prop_SinglePreserve (collecting)
[ ]  498    0    0   40 / 1000    26.5s test_prop_SinglePreserve (collecting)
[ ]  510    0    0   42 / 1000    28.7s test_prop_SinglePreserve (collecting)
[ ]  515    0    0   43 / 1000    29.7s test_prop_SinglePreserve (collecting)
[ ]  527    0    0   43 / 1000    32.1s test_prop_SinglePreserve (collecting)
[ ]  531    0    0   43 / 1000    34.4s test_prop_SinglePreserve (collecting)
[ ]  559    0    0   46 / 1000    35.3s test_prop_SinglePreserve (collecting)
[ ]  593    0    0   47 / 1000    35.4s test_prop_SinglePreserve (collecting)
[ ]  598    0    0   47 / 1000    36.1s test_prop_SinglePreserve (collecting)
[ ]  629    0    0   50 / 1000    37.0s test_prop_SinglePreserve (collecting)
[ ]  681    0    0   52 / 1000    37.1s test_prop_SinglePreserve (collecting)
[ ]  703    0    0   53 / 1000    39.4s test_prop_SinglePreserve (collecting)
[ ]  722    0    0   53 / 1000    40.2s test_prop_SinglePreserve (collecting)
[ ]  723    0    0   53 / 1000    41.0s test_prop_SinglePreserve (collecting)
[ ]  750    0    0   53 / 1000    41.1s test_prop_SinglePreserve (collecting)
[ ]  768    0    0   53 / 1000    43.5s test_prop_SinglePreserve (collecting)
