[prop_MultiPreserve|
generated error fail pass / total     time test name
[ ]    0    0    0    0 / 1000     0.0s test_prop_MultiPreserve
[ ]    0    0    0    0 / 1000     0.0s test_prop_MultiPreserve (generating)
[ ]   17    0    0    1 / 1000     2.4s test_prop_MultiPreserve (collecting)
[ ]   28    0    0    1 / 1000     2.6s test_prop_MultiPreserve (collecting)
[ ]   50    0    0    3 / 1000     3.3s test_prop_MultiPreserve (collecting)
[ ]   57    0    0    4 / 1000     4.3s test_prop_MultiPreserve (collecting)
[ ]  107    0    0    7 / 1000     5.3s test_prop_MultiPreserve (collecting)
[ ]  112    0    0    7 / 1000     7.6s test_prop_MultiPreserve (collecting)
[ ]  116    0    0    8 / 1000    10.0s test_prop_MultiPreserve (collecting)
[ ]  129    0    0    9 / 1000    10.6s test_prop_MultiPreserve (collecting)
[ ]  142    0    0    9 / 1000    10.8s test_prop_MultiPreserve (collecting)
[ ]  170    0    0   10 / 1000    11.0s test_prop_MultiPreserve (collecting)
[ ]  187    0    0   11 / 1000    11.1s test_prop_MultiPreserve (collecting)
[ ]  199    0    0   13 / 1000    13.4s test_prop_MultiPreserve (collecting)
[ ]  207    0    0   14 / 1000    14.1s test_prop_MultiPreserve (collecting)
[ ]  221    0    0   15 / 1000    15.0s test_prop_MultiPreserve (collecting)
[ ]  228    0    0   15 / 1000    17.2s test_prop_MultiPreserve (collecting)
[ ]  238    0    0   15 / 1000    17.3s test_prop_MultiPreserve (collecting)
[ ]  264    0    0   18 / 1000    17.4s test_prop_MultiPreserve (collecting)
[ ]  270    0    0   18 / 1000    17.8s test_prop_MultiPreserve (collecting)
[ ]  278    0    0   18 / 1000    20.2s test_prop_MultiPreserve (collecting)
[ ]  288    0    0   20 / 1000    20.8s test_prop_MultiPreserve (collecting)
[ ]  292    0    0   20 / 1000    23.4s test_prop_MultiPreserve (collecting)
[ ]  347    0    0   25 / 1000    23.5s test_prop_MultiPreserve (collecting)
[ ]  364    0    0   28 / 1000    23.7s test_prop_MultiPreserve (collecting)
[ ]  371    0    0   29 / 1000    23.8s test_prop_MultiPreserve (collecting)
[ ]  379    0    0   29 / 1000    26.2s test_prop_MultiPreserve (collecting)
[ ]  391    0    0   29 / 1000    26.3s test_prop_MultiPreserve (collecting)
[ ]  398    0    0   29 / 1000    28.8s test_prop_MultiPreserve (collecting)
[ ]  406    0    0   30 / 1000    29.3s test_prop_MultiPreserve (collecting)
[ ]  419    0    0   31 / 1000    29.4s test_prop_MultiPreserve (collecting)
[ ]  430    0    0   32 / 1000    29.6s test_prop_MultiPreserve (collecting)
[ ]  451    0    0   34 / 1000    30.4s test_prop_MultiPreserve (collecting)
[ ]  483    0    0   35 / 1000    30.5s test_prop_MultiPreserve (collecting)
[ ]  488    0    0   36 / 1000    32.8s test_prop_MultiPreserve (collecting)
[ ]  515    0    0   41 / 1000    32.9s test_prop_MultiPreserve (collecting)
[ ]  526    0    0   41 / 1000    33.5s test_prop_MultiPreserve (collecting)
[ ]  588    0    0   45 / 1000    34.6s test_prop_MultiPreserve (collecting)
[ ]  607    0    0   46 / 1000    36.8s test_prop_MultiPreserve (collecting)
[ ]  676    0    0   54 / 1000    36.9s test_prop_MultiPreserve (collecting)
[ ]  688    0    0   55 / 1000    37.5s test_prop_MultiPreserve (collecting)
[ ]  722    0    0   57 / 1000    37.8s test_prop_MultiPreserve (collecting)
[ ]  755    0    0   59 / 1000    37.9s test_prop_MultiPreserve (collecting)
[ ]  756    0    0   59 / 1000    38.7s test_prop_MultiPreserve (collecting)
[ ]  764    0    0   60 / 1000    39.4s test_prop_MultiPreserve (collecting)
[ ]  768    0    0   60 / 1000    39.7s test_prop_MultiPreserve (collecting)
[ ]  779    0    0   60 / 1000    40.0s test_prop_MultiPreserve (collecting)
[ ]  787    0    0   61 / 1000    40.7s test_prop_MultiPreserve (collecting)
[ ]  798    0    0   62 / 1000    41.0s test_prop_MultiPreserve (collecting)
[ ]  819    0    0   62 / 1000    43.3s test_prop_MultiPreserve (collecting)
[ ]  868    0    0   66 / 1000    43.4s test_prop_MultiPreserve (collecting)
[ ]  886    0    0   67 / 1000    44.4s test_prop_MultiPreserve (collecting)
[ ]  912    0    0   71 / 1000    45.1s test_prop_MultiPreserve (collecting)
[ ]  927    0    0   71 / 1000    45.8s test_prop_MultiPreserve (collecting)
[ ]  933    0    0   71 / 1000    45.9s test_prop_MultiPreserve (collecting)
[ ]  934    0    0   71 / 1000    48.1s test_prop_MultiPreserve (collecting)
[ ]  945    0    0   72 / 1000    48.8s test_prop_MultiPreserve (collecting)
[ ]  966    0    0   73 / 1000    49.6s test_prop_MultiPreserve (collecting)
[ ]  972    0    0   74 / 1000    50.3s test_prop_MultiPreserve (collecting)
[ ]  974    0    0   74 / 1000    51.1s test_prop_MultiPreserve (collecting)
[ ]  983    0    0   74 / 1000    51.3s test_prop_MultiPreserve (collecting)
[ ]  988    0    0   74 / 1000    51.5s test_prop_MultiPreserve (collecting)
[ ] 1021    0    0   76 / 1000    52.3s test_prop_MultiPreserve (collecting)
[ ] 1053    0    0   77 / 1000    53.0s test_prop_MultiPreserve (collecting)
[ ] 1064    0    0   78 / 1000    53.2s test_prop_MultiPreserve (collecting)
[ ] 1076    0    0   78 / 1000    53.3s test_prop_MultiPreserve (collecting)
[ ] 1081    0    0   78 / 1000    55.7s test_prop_MultiPreserve (collecting)
[ ] 1098    0    0   79 / 1000    55.8s test_prop_MultiPreserve (collecting)
[ ] 1112    0    0   81 / 1000    55.9s test_prop_MultiPreserve (collecting)
[ ] 1119    0    0   82 / 1000    58.3s test_prop_MultiPreserve (collecting)
[ ] 1138    0    0   82 / 1000    59.0s test_prop_MultiPreserve (collecting)
[ ] 1156    0    0   84 / 1000    59.2s test_prop_MultiPreserve (collecting)
[ ] 1172    0    0   87 / 1000    60.2s test_prop_MultiPreserve (collecting)
[ ] 1188    0    0   88 / 1000    61.1s test_prop_MultiPreserve (collecting)
[✓] 1200    0    0   88 / 1000    61.1s test_prop_MultiPreserve
================================================================================
success (ran 1 tests)
|prop_MultiPreserve -> 60949.03]
[prop_MultiPreserve|
generated error fail pass / total     time test name
[ ]    0    0    0    0 / 1000     0.0s test_prop_MultiPreserve
[ ]    0    0    0    0 / 1000     0.0s test_prop_MultiPreserve (generating)
[ ]   23    0    0    2 / 1000     2.4s test_prop_MultiPreserve (collecting)
[ ]   40    0    0    3 / 1000     3.0s test_prop_MultiPreserve (collecting)
[ ]   77    0    0    5 / 1000     3.2s test_prop_MultiPreserve (collecting)
[ ]   87    0    0    5 / 1000     3.9s test_prop_MultiPreserve (collecting)
[ ]  101    0    0    5 / 1000     4.0s test_prop_MultiPreserve (collecting)
[ ]  113    0    0    5 / 1000     4.2s test_prop_MultiPreserve (collecting)
[ ]  117    0    0    5 / 1000     6.6s test_prop_MultiPreserve (collecting)
[ ]  119    0    0    5 / 1000     7.3s test_prop_MultiPreserve (collecting)
[ ]  130    0    0    5 / 1000     9.4s test_prop_MultiPreserve (collecting)
[ ]  135    0    0    6 / 1000     9.5s test_prop_MultiPreserve (collecting)
[ ]  142    0    0    8 / 1000    10.1s test_prop_MultiPreserve (collecting)
[ ]  155    0    0    9 / 1000    10.2s test_prop_MultiPreserve (collecting)
[ ]  156    0    0    9 / 1000    10.4s test_prop_MultiPreserve (collecting)
[ ]  184    0    0   12 / 1000    10.5s test_prop_MultiPreserve (collecting)
[ ]  188    0    0   12 / 1000    12.8s test_prop_MultiPreserve (collecting)
[ ]  218    0    0   16 / 1000    12.9s test_prop_MultiPreserve (collecting)
[ ]  222    0    0   17 / 1000    13.1s test_prop_MultiPreserve (collecting)
[ ]  232    0    0   17 / 1000    14.0s test_prop_MultiPreserve (collecting)
[ ]  276    0    0   27 / 1000    14.9s test_prop_MultiPreserve (collecting)
[ ]  286    0    0   28 / 1000    15.0s test_prop_MultiPreserve (collecting)
