[prop_SinglePreserve|
generated error fail pass / total     time test name
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve (generating)
[ ]    2    0    0    0 / 1000     0.1s test_prop_SinglePreserve (collecting)
[ ]   22    0    0    0 / 1000     0.4s test_prop_SinglePreserve (collecting)
[ ]   41    0    0    2 / 1000     2.6s test_prop_SinglePreserve (collecting)
[ ]   47    0    0    2 / 1000     3.5s test_prop_SinglePreserve (collecting)
[ ]   54    0    0    3 / 1000     4.4s test_prop_SinglePreserve (collecting)
[ ]   72    0    0    4 / 1000     4.9s test_prop_SinglePreserve (collecting)
[ ]   80    0    0    4 / 1000     5.7s test_prop_SinglePreserve (collecting)
[ ]  111    0    0    7 / 1000     5.8s test_prop_SinglePreserve (collecting)
[ ]  129    0    0   10 / 1000     5.9s test_prop_SinglePreserve (collecting)
[ ]  131    0    0   10 / 1000     6.6s test_prop_SinglePreserve (collecting)
[ ]  159    0    0   13 / 1000     9.0s test_prop_SinglePreserve (collecting)
[ ]  183    0    0   14 / 1000     9.1s test_prop_SinglePreserve (collecting)
[ ]  188    0    0   14 / 1000     9.5s test_prop_SinglePreserve (collecting)
[ ]  199    0    0   16 / 1000    10.3s test_prop_SinglePreserve (collecting)
[ ]  233    0    0   19 / 1000    10.4s test_prop_SinglePreserve (collecting)
[ ]  242    0    0   20 / 1000    11.6s test_prop_SinglePreserve (collecting)
[ ]  247    0    0   20 / 1000    12.4s test_prop_SinglePreserve (collecting)
[ ]  273    0    0   24 / 1000    13.2s test_prop_SinglePreserve (collecting)
[ ]  286    0    0   24 / 1000    14.1s test_prop_SinglePreserve (collecting)
[ ]  306    0    0   25 / 1000    15.0s test_prop_SinglePreserve (collecting)
[ ]  308    0    0   25 / 1000    15.7s test_prop_SinglePreserve (collecting)
[ ]  342    0    0   29 / 1000    16.5s test_prop_SinglePreserve (collecting)
[ ]  349    0    0   29 / 1000    16.7s test_prop_SinglePreserve (collecting)
[ ]  366    0    0   30 / 1000    17.4s test_prop_SinglePreserve (collecting)
[ ]  368    0    0   30 / 1000    20.3s test_prop_SinglePreserve (collecting)
[ ]  374    0    0   30 / 1000    22.7s test_prop_SinglePreserve (collecting)
[ ]  390    0    0   31 / 1000    22.9s test_prop_SinglePreserve (collecting)
[ ]  402    0    0   31 / 1000    23.8s test_prop_SinglePreserve (collecting)
[ ]  413    0    0   31 / 1000    24.5s test_prop_SinglePreserve (collecting)
[ ]  428    0    0   32 / 1000    24.7s test_prop_SinglePreserve (collecting)
[ ]  463    0    0   35 / 1000    25.4s test_prop_SinglePreserve (collecting)
[ ]  474    0    0   35 / 1000    27.7s test_prop_SinglePreserve (collecting)
[ ]  476    0    0   35 / 1000    27.9s test_prop_SinglePreserve (collecting)
[ ]  517    0    0   40 / 1000    28.0s test_prop_SinglePreserve (collecting)
[ ]  532    0    0   40 / 1000    30.4s test_prop_SinglePreserve (collecting)
[ ]  574    0    0   45 / 1000    30.5s test_prop_SinglePreserve (collecting)
[ ]  580    0    0   46 / 1000    32.9s test_prop_SinglePreserve (collecting)
[ ]  606    0    0   47 / 1000    33.1s test_prop_SinglePreserve (collecting)
[ ]  609    0    0   47 / 1000    35.7s test_prop_SinglePreserve (collecting)
[ ]  628    0    0   48 / 1000    36.7s test_prop_SinglePreserve (collecting)
[ ]  633    0    0   48 / 1000    36.8s test_prop_SinglePreserve (collecting)
[ ]  638    0    0   49 / 1000    37.6s test_prop_SinglePreserve (collecting)
[ ]  649    0    0   49 / 1000    38.5s test_prop_SinglePreserve (collecting)
[ ]  652    0    0   49 / 1000    38.7s test_prop_SinglePreserve (collecting)
[ ]  660    0    0   52 / 1000    39.5s test_prop_SinglePreserve (collecting)
[ ]  665    0    0   52 / 1000    41.8s test_prop_SinglePreserve (collecting)
[ ]  688    0    0   56 / 1000    43.7s test_prop_SinglePreserve (collecting)
[ ]  698    0    0   57 / 1000    43.8s test_prop_SinglePreserve (collecting)
[ ]  712    0    0   57 / 1000    43.9s test_prop_SinglePreserve (collecting)
[ ]  713    0    0   57 / 1000    45.8s test_prop_SinglePreserve (collecting)
[ ]  724    0    0   57 / 1000    45.9s test_prop_SinglePreserve (collecting)
[ ]  741    0    0   58 / 1000    46.0s test_prop_SinglePreserve (collecting)
[ ]  753    0    0   60 / 1000    46.1s test_prop_SinglePreserve (collecting)
[ ]  771    0    0   61 / 1000    47.4s test_prop_SinglePreserve (collecting)
[ ]  785    0    0   61 / 1000    48.3s test_prop_SinglePreserve (collecting)
[ ]  809    0    0   62 / 1000    48.4s test_prop_SinglePreserve (collecting)
[ ]  839    0    0   63 / 1000    48.5s test_prop_SinglePreserve (collecting)
[ ]  859    0    0   65 / 1000    48.6s test_prop_SinglePreserve (collecting)
[ ]  868    0    0   65 / 1000    51.1s test_prop_SinglePreserve (collecting)
[ ]  873    0    0   66 / 1000    53.8s test_prop_SinglePreserve (collecting)
[ ]  891    0    0   68 / 1000    54.3s test_prop_SinglePreserve (collecting)
[ ]  910    0    0   68 / 1000    55.2s test_prop_SinglePreserve (collecting)
[ ]  913    0    0   69 / 1000    55.9s test_prop_SinglePreserve (collecting)
[ ]  946    0    0   70 / 1000    56.7s test_prop_SinglePreserve (collecting)
[ ]  962    0    0   71 / 1000    57.4s test_prop_SinglePreserve (collecting)
[ ] 1004    0    0   75 / 1000    57.5s test_prop_SinglePreserve (collecting)
[ ] 1019    0    0   77 / 1000    58.3s test_prop_SinglePreserve (collecting)
[ ] 1039    0    0   78 / 1000    59.1s test_prop_SinglePreserve (collecting)
[ ] 1063    0    0   81 / 1000    59.3s test_prop_SinglePreserve (collecting)
[ ] 1076    0    0   83 / 1000    59.4s test_prop_SinglePreserve (collecting)
[ ] 1104    0    0   84 / 1000    59.5s test_prop_SinglePreserve (collecting)
[ ] 1125    0    0   87 / 1000    59.6s test_prop_SinglePreserve (collecting)
[ ] 1159    0    0   89 / 1000    59.8s test_prop_SinglePreserve (collecting)
[ ] 1180    0    0   90 / 1000    59.9s test_prop_SinglePreserve (collecting)
[ ] 1186    0    0   90 / 1000    62.3s test_prop_SinglePreserve (collecting)
[✓] 1200    0    0   91 / 1000    62.4s test_prop_SinglePreserve
================================================================================
success (ran 1 tests)
|prop_SinglePreserve -> 60375.93]
[prop_SinglePreserve|
generated error fail pass / total     time test name
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve
