[prop_MultiPreserve|
generated error fail pass / total     time test name
[ ]    0    0    0    0 / 1000     0.0s test_prop_MultiPreserve
[ ]    0    0    0    0 / 1000     0.0s test_prop_MultiPreserve (generating)
[ ]   22    0    0    4 / 1000     0.3s test_prop_MultiPreserve (collecting)
[ ]   51    0    0    5 / 1000     0.4s test_prop_MultiPreserve (collecting)
[ ]   73    0    0    7 / 1000     0.5s test_prop_MultiPreserve (collecting)
[ ]  109    0    0   11 / 1000     1.3s test_prop_MultiPreserve (collecting)
[ ]  124    0    0   12 / 1000     3.7s test_prop_MultiPreserve (collecting)
[ ]  132    0    0   14 / 1000     4.2s test_prop_MultiPreserve (collecting)
[ ]  139    0    0   14 / 1000     4.3s test_prop_MultiPreserve (collecting)
[ ]  166    0    0   16 / 1000     4.5s test_prop_MultiPreserve (collecting)
[ ]  210    0    0   24 / 1000     4.6s test_prop_MultiPreserve (collecting)
[ ]  230    0    0   26 / 1000     5.4s test_prop_MultiPreserve (collecting)
[ ]  233    0    0   26 / 1000     7.7s test_prop_MultiPreserve (collecting)
[ ]  284    0    0   33 / 1000     8.6s test_prop_MultiPreserve (collecting)
[ ]  339    0    0   36 / 1000    11.2s test_prop_MultiPreserve (collecting)
[ ]  360    0    0   36 / 1000    11.3s test_prop_MultiPreserve (collecting)
[ ]  399    0    0   40 / 1000    11.9s test_prop_MultiPreserve (collecting)
[ ]  412    0    0   41 / 1000    14.4s test_prop_MultiPreserve (collecting)
[ ]  422    0    0   41 / 1000    14.5s test_prop_MultiPreserve (collecting)
[ ]  448    0    0   44 / 1000    14.6s test_prop_MultiPreserve (collecting)
[ ]  463    0    0   46 / 1000    15.7s test_prop_MultiPreserve (collecting)
[ ]  468    0    0   46 / 1000    15.9s test_prop_MultiPreserve (collecting)
[ ]  469    0    0   46 / 1000    16.7s test_prop_MultiPreserve (collecting)
[ ]  474    0    0   46 / 1000    16.8s test_prop_MultiPreserve (collecting)
[ ]  490    0    0   47 / 1000    17.7s test_prop_MultiPreserve (collecting)
[ ]  492    0    0   47 / 1000    18.5s test_prop_MultiPreserve (collecting)
[ ]  504    0    0   48 / 1000    20.7s test_prop_MultiPreserve (collecting)
[ ]  531    0    0   48 / 1000    23.2s test_prop_MultiPreserve (collecting)
[ ]  543    0    0   48 / 1000    23.3s test_prop_MultiPreserve (collecting)
[ ]  545    0    0   48 / 1000    23.4s test_prop_MultiPreserve (collecting)
[ ]  562    0    0   50 / 1000    23.6s test_prop_MultiPreserve (collecting)
[ ]  569    0    0   50 / 1000    24.2s test_prop_MultiPreserve (collecting)
[ ]  571    0    0   50 / 1000    24.5s test_prop_MultiPreserve (collecting)
[ ]  606    0    0   53 / 1000    24.6s test_prop_MultiPreserve (collecting)
[ ]  628    0    0   56 / 1000    24.7s test_prop_MultiPreserve (collecting)
[ ]  666    0    0   59 / 1000    25.1s test_prop_MultiPreserve (collecting)
[ ]  680    0    0   60 / 1000    25.9s test_prop_MultiPreserve (collecting)
[ ]  682    0    0   61 / 1000    26.1s test_prop_MultiPreserve (collecting)
[ ]  694    0    0   62 / 1000    26.5s test_prop_MultiPreserve (collecting)
[ ]  709    0    0   64 / 1000    26.8s test_prop_MultiPreserve (collecting)
[ ]  737    0    0   67 / 1000    26.9s test_prop_MultiPreserve (collecting)
[ ]  742    0    0   67 / 1000    27.2s test_prop_MultiPreserve (collecting)
[ ]  755    0    0   68 / 1000    27.3s test_prop_MultiPreserve (collecting)
[ ]  776    0    0   71 / 1000    27.4s test_prop_MultiPreserve (collecting)
[ ]  797    0    0   74 / 1000    27.6s test_prop_MultiPreserve (collecting)
[ ]  802    0    0   74 / 1000    28.4s test_prop_MultiPreserve (collecting)
[ ]  808    0    0   75 / 1000    29.2s test_prop_MultiPreserve (collecting)
[ ]  847    0    0   78 / 1000    29.9s test_prop_MultiPreserve (collecting)
[ ]  883    0    0   79 / 1000    30.2s test_prop_MultiPreserve (collecting)
[ ]  898    0    0   80 / 1000    30.8s test_prop_MultiPreserve (collecting)
[ ]  907    0    0   81 / 1000    31.0s test_prop_MultiPreserve (collecting)
[ ]  925    0    0   84 / 1000    31.3s test_prop_MultiPreserve (collecting)
[ ]  973    0    0   88 / 1000    33.7s test_prop_MultiPreserve (collecting)
[ ]  981    0    0   88 / 1000    33.8s test_prop_MultiPreserve (collecting)
[ ]  990    0    0   89 / 1000    36.2s test_prop_MultiPreserve (collecting)
[ ] 1016    0    0   89 / 1000    36.4s test_prop_MultiPreserve (collecting)
[ ] 1024    0    0   89 / 1000    36.5s test_prop_MultiPreserve (collecting)
[ ] 1038    0    0   89 / 1000    37.5s test_prop_MultiPreserve (collecting)
[ ] 1044    0    0   89 / 1000    37.7s test_prop_MultiPreserve (collecting)
[ ] 1050    0    0   89 / 1000    38.5s test_prop_MultiPreserve (collecting)
[ ] 1080    0    0   93 / 1000    38.9s test_prop_MultiPreserve (collecting)
[ ] 1081    0    0   93 / 1000    41.1s test_prop_MultiPreserve (collecting)
[ ] 1091    0    0   93 / 1000    41.9s test_prop_MultiPreserve (collecting)
[ ] 1094    0    0   94 / 1000    42.5s test_prop_MultiPreserve (collecting)
[ ] 1103    0    0   95 / 1000    42.6s test_prop_MultiPreserve (collecting)
[ ] 1108    0    0   95 / 1000    43.3s test_prop_MultiPreserve (collecting)
[ ] 1115    0    0   96 / 1000    43.6s test_prop_MultiPreserve (collecting)
[ ] 1125    0    0   96 / 1000    43.8s test_prop_MultiPreserve (collecting)
[ ] 1161    0    0   99 / 1000    43.9s test_prop_MultiPreserve (collecting)
[ ] 1182    0    0  101 / 1000    44.0s test_prop_MultiPreserve (collecting)
[ ] 1192    0    0  102 / 1000    44.9s test_prop_MultiPreserve (collecting)
[✓] 1200    0    0  104 / 1000    44.9s test_prop_MultiPreserve
================================================================================
success (ran 1 tests)
|prop_MultiPreserve -> 44848.86]
[prop_MultiPreserve|
generated error fail pass / total     time test name
[ ]    0    0    0    0 / 1000     0.0s test_prop_MultiPreserve
[ ]    0    0    0    0 / 1000     0.0s test_prop_MultiPreserve (generating)
[ ]   26    0    0    3 / 1000     0.1s test_prop_MultiPreserve (collecting)
[ ]   29    0    0    3 / 1000     0.3s test_prop_MultiPreserve (collecting)
[ ]   54    0    0    6 / 1000     0.4s test_prop_MultiPreserve (collecting)
[ ]   63    0    0    7 / 1000     0.6s test_prop_MultiPreserve (collecting)
[ ]   77    0    0    9 / 1000     0.7s test_prop_MultiPreserve (collecting)
[ ]   83    0    0   10 / 1000     1.4s test_prop_MultiPreserve (collecting)
[ ]  104    0    0   11 / 1000     2.2s test_prop_MultiPreserve (collecting)
[ ]  111    0    0   12 / 1000     2.9s test_prop_MultiPreserve (collecting)
[ ]  120    0    0   12 / 1000     3.2s test_prop_MultiPreserve (collecting)
[ ]  147    0    0   16 / 1000     3.3s test_prop_MultiPreserve (collecting)
[ ]  167    0    0   18 / 1000     3.4s test_prop_MultiPreserve (collecting)
[ ]  169    0    0   18 / 1000     4.1s test_prop_MultiPreserve (collecting)
[ ]  175    0    0   18 / 1000     5.1s test_prop_MultiPreserve (collecting)
[ ]  216    0    0   20 / 1000     5.2s test_prop_MultiPreserve (collecting)
[ ]  224    0    0   20 / 1000     6.0s test_prop_MultiPreserve (collecting)
[ ]  248    0    0   21 / 1000     6.1s test_prop_MultiPreserve (collecting)
[ ]  249    0    0   21 / 1000     6.4s test_prop_MultiPreserve (collecting)
[ ]  251    0    0   21 / 1000     6.6s test_prop_MultiPreserve (collecting)
[ ]  265    0    0   22 / 1000     6.7s test_prop_MultiPreserve (collecting)
[ ]  273    0    0   23 / 1000     7.1s test_prop_MultiPreserve (collecting)
[ ]  274    0    0   23 / 1000     7.3s test_prop_MultiPreserve (collecting)
[ ]  279    0    0   24 / 1000     7.6s test_prop_MultiPreserve (collecting)
[ ]  287    0    0   24 / 1000     8.3s test_prop_MultiPreserve (collecting)
[ ]  293    0    0   25 / 1000     8.5s test_prop_MultiPreserve (collecting)
[ ]  307    0    0   27 / 1000     8.7s test_prop_MultiPreserve (collecting)
[ ]  339    0    0   32 / 1000    11.1s test_prop_MultiPreserve (collecting)
[ ]  342    0    0   32 / 1000    11.6s test_prop_MultiPreserve (collecting)
[ ]  348    0    0   32 / 1000    11.7s test_prop_MultiPreserve (collecting)
[ ]  374    0    0   33 / 1000    11.9s test_prop_MultiPreserve (collecting)
[ ]  380    0    0   33 / 1000    12.7s test_prop_MultiPreserve (collecting)
[ ]  387    0    0   35 / 1000    15.0s test_prop_MultiPreserve (collecting)
[ ]  409    0    0   37 / 1000    15.1s test_prop_MultiPreserve (collecting)
[ ]  413    0    0   39 / 1000    15.8s test_prop_MultiPreserve (collecting)
[ ]  472    0    0   42 / 1000    15.9s test_prop_MultiPreserve (collecting)
[ ]  481    0    0   42 / 1000    16.7s test_prop_MultiPreserve (collecting)
[ ]  486    0    0   42 / 1000    19.2s test_prop_MultiPreserve (collecting)
[ ]  501    0    0   43 / 1000    19.3s test_prop_MultiPreserve (collecting)
[ ]  520    0    0   43 / 1000    19.4s test_prop_MultiPreserve (collecting)
[ ]  554    0    0   46 / 1000    19.5s test_prop_MultiPreserve (collecting)
[ ]  579    0    0   47 / 1000    20.1s test_prop_MultiPreserve (collecting)
[ ]  635    0    0   51 / 1000    21.1s test_prop_MultiPreserve (collecting)
[ ]  643    0    0   51 / 1000    21.9s test_prop_MultiPreserve (collecting)
[ ]  659    0    0   53 / 1000    22.0s test_prop_MultiPreserve (collecting)
[ ]  665    0    0   53 / 1000    22.1s test_prop_MultiPreserve (collecting)
[ ]  672    0    0   54 / 1000    24.4s test_prop_MultiPreserve (collecting)
[ ]  693    0    0   54 / 1000    24.5s test_prop_MultiPreserve (collecting)
[ ]  700    0    0   54 / 1000    24.9s test_prop_MultiPreserve (collecting)
[ ]  712    0    0   55 / 1000    25.5s test_prop_MultiPreserve (collecting)
[ ]  752    0    0   56 / 1000    25.6s test_prop_MultiPreserve (collecting)
[ ]  779    0    0   58 / 1000    25.9s test_prop_MultiPreserve (collecting)
[ ]  788    0    0   59 / 1000    28.2s test_prop_MultiPreserve (collecting)
[ ]  811    0    0   61 / 1000    28.4s test_prop_MultiPreserve (collecting)
[ ]  820    0    0   61 / 1000    29.0s test_prop_MultiPreserve (collecting)
[ ]  840    0    0   62 / 1000    29.1s test_prop_MultiPreserve (collecting)
[ ]  861    0    0   64 / 1000    29.2s test_prop_MultiPreserve (collecting)
[ ]  902    0    0   69 / 1000    29.4s test_prop_MultiPreserve (collecting)
