[prop_SinglePreserve|
generated error fail pass / total     time test name
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve
[ ]    0    0    0    0 / 1000     0.0s test_prop_SinglePreserve (generating)
[ ]   30    0    0    1 / 1000     0.1s test_prop_SinglePreserve (collecting)
[ ]   39    0    0    1 / 1000     0.8s test_prop_SinglePreserve (collecting)
[ ]   88    0    0    6 / 1000     1.0s test_prop_SinglePreserve (collecting)
[ ]   92    0    0    7 / 1000     1.2s test_prop_SinglePreserve (collecting)
[ ]  115    0    0    9 / 1000     2.0s test_prop_SinglePreserve (collecting)
[ ]  136    0    0   13 / 1000     2.9s test_prop_SinglePreserve (collecting)
[ ]  152    0    0   16 / 1000     5.1s test_prop_SinglePreserve (collecting)
[ ]  179    0    0   19 / 1000     5.2s test_prop_SinglePreserve (collecting)
[ ]  206    0    0   21 / 1000     5.6s test_prop_SinglePreserve (collecting)
[ ]  246    0    0   22 / 1000     6.4s test_prop_SinglePreserve (collecting)
[ ]  273    0    0   22 / 1000     6.6s test_prop_SinglePreserve (collecting)
[ ]  280    0    0   22 / 1000     7.3s test_prop_SinglePreserve (collecting)
[ ]  320    0    0   25 / 1000     9.6s test_prop_SinglePreserve (collecting)
[ ]  335    0    0   28 / 1000     9.8s test_prop_SinglePreserve (collecting)
[ ]  341    0    0   28 / 1000    10.1s test_prop_SinglePreserve (collecting)
[ ]  353    0    0   29 / 1000    10.8s test_prop_SinglePreserve (collecting)
[ ]  384    0    0   31 / 1000    10.9s test_prop_SinglePreserve (collecting)
[ ]  385    0    0   31 / 1000    11.0s test_prop_SinglePreserve (collecting)
[ ]  387    0    0   32 / 1000    11.2s test_prop_SinglePreserve (collecting)
[ ]  415    0    0   35 / 1000    11.5s test_prop_SinglePreserve (collecting)
[ ]  419    0    0   35 / 1000    11.8s test_prop_SinglePreserve (collecting)
[ ]  449    0    0   37 / 1000    12.1s test_prop_SinglePreserve (collecting)
[ ]  462    0    0   38 / 1000    14.5s test_prop_SinglePreserve (collecting)
[ ]  515    0    0   40 / 1000    14.6s test_prop_SinglePreserve (collecting)
[ ]  554    0    0   43 / 1000    14.7s test_prop_SinglePreserve (collecting)
[ ]  565    0    0   44 / 1000    15.7s test_prop_SinglePreserve (collecting)
[ ]  568    0    0   44 / 1000    15.9s test_prop_SinglePreserve (collecting)
[ ]  583    0    0   45 / 1000    16.7s test_prop_SinglePreserve (collecting)
[ ]  594    0    0   45 / 1000    19.2s test_prop_SinglePreserve (collecting)
[ ]  631    0    0   49 / 1000    19.3s test_prop_SinglePreserve (collecting)
[ ]  633    0    0   49 / 1000    19.5s test_prop_SinglePreserve (collecting)
[ ]  640    0    0   49 / 1000    19.7s test_prop_SinglePreserve (collecting)
[ ]  645    0    0   49 / 1000    22.0s test_prop_SinglePreserve (collecting)
[ ]  654    0    0   51 / 1000    22.4s test_prop_SinglePreserve (collecting)
[ ]  662    0    0   51 / 1000    22.5s test_prop_SinglePreserve (collecting)
[ ]  670    0    0   51 / 1000    22.6s test_prop_SinglePreserve (collecting)
[ ]  684    0    0   52 / 1000    23.2s test_prop_SinglePreserve (collecting)
[ ]  700    0    0   54 / 1000    23.3s test_prop_SinglePreserve (collecting)
[ ]  706    0    0   54 / 1000    23.5s test_prop_SinglePreserve (collecting)
[ ]  728    0    0   55 / 1000    23.6s test_prop_SinglePreserve (collecting)
[ ]  752    0    0   56 / 1000    23.7s test_prop_SinglePreserve (collecting)
[ ]  753    0    0   56 / 1000    24.4s test_prop_SinglePreserve (collecting)
[ ]  758    0    0   57 / 1000    26.6s test_prop_SinglePreserve (collecting)
[ ]  759    0    0   57 / 1000    27.0s test_prop_SinglePreserve (collecting)
[ ]  778    0    0   60 / 1000    27.6s test_prop_SinglePreserve (collecting)
[ ]  780    0    0   60 / 1000    30.1s test_prop_SinglePreserve (collecting)
[ ]  824    0    0   65 / 1000    30.4s test_prop_SinglePreserve (collecting)
[ ]  847    0    0   67 / 1000    30.9s test_prop_SinglePreserve (collecting)
[ ]  870    0    0   68 / 1000    33.2s test_prop_SinglePreserve (collecting)
[ ]  877    0    0   68 / 1000    34.0s test_prop_SinglePreserve (collecting)
[ ]  896    0    0   69 / 1000    34.6s test_prop_SinglePreserve (collecting)
[ ]  923    0    0   70 / 1000    35.5s test_prop_SinglePreserve (collecting)
[ ]  938    0    0   73 / 1000    35.6s test_prop_SinglePreserve (collecting)
